x,y,z,r,g,b
315316.562500,4834383.000000,87.800583,0.8,0.8,0.8
315369.343750,4834414.500000,98.978798,0.8,0.8,0.8
315292.125000,4834382.500000,101.238846,0.8,0.8,0.8
315310.343750,4834320.000000,81.633453,0.8,0.8,0.8
315358.781250,4834325.000000,86.872398,0.8,0.8,0.8
315274.593750,4834325.000000,91.748802,0.8,0.8,0.8
315318.750000,4834381.500000,99.634399,0.8,0.8,0.8
315293.718750,4834352.500000,93.736801,0.8,0.8,0.8
315342.656250,4834390.500000,102.086304,0.8,0.8,0.8
315304.906250,4834364.000000,92.840202,0.8,0.8,0.8
315330.062500,4834342.500000,86.340225,0.8,0.8,0.8
315328.406250,4834406.000000,94.551453,0.8,0.8,0.8
315337.687500,4834347.000000,83.869904,0.8,0.8,0.8
315428.781250,4834395.500000,95.563835,0.8,0.8,0.8
315310.718750,4834331.500000,85.735100,0.8,0.8,0.8
315377.406250,4834379.000000,94.042068,0.8,0.8,0.8
315290.906250,4834397.500000,82.451576,0.8,0.8,0.8
315280.906250,4834404.000000,89.745537,0.8,0.8,0.8
315386.125000,4834354.500000,91.232849,0.8,0.8,0.8
315367.562500,4834350.000000,88.940224,0.8,0.8,0.8
315308.000000,4834333.000000,92.338333,0.8,0.8,0.8
315354.281250,4834383.000000,100.641937,0.8,0.8,0.8
315323.593750,4834354.000000,83.239212,0.8,0.8,0.8
315308.750000,4834399.000000,93.738434,0.8,0.8,0.8
315312.468750,4834386.000000,89.623299,0.8,0.8,0.8
315268.406250,4834334.000000,84.918900,0.8,0.8,0.8
315301.750000,4834409.000000,86.839775,0.8,0.8,0.8
315275.656250,4834454.000000,91.350197,0.8,0.8,0.8
315354.468750,4834360.000000,83.756447,0.8,0.8,0.8
315366.937500,4834344.500000,91.248100,0.8,0.8,0.8
315272.156250,4834452.500000,99.794296,0.8,0.8,0.8
315325.312500,4834370.500000,101.232368,0.8,0.8,0.8
315281.937500,4834412.000000,91.281601,0.8,0.8,0.8
315328.500000,4834363.000000,104.338348,0.8,0.8,0.8
315349.718750,4834370.500000,87.441498,0.8,0.8,0.8
315364.312500,4834391.500000,100.239197,0.8,0.8,0.8
315352.906250,4834380.500000,105.543633,0.8,0.8,0.8
315354.500000,4834392.000000,99.453850,0.8,0.8,0.8
315344.750000,4834397.500000,100.410202,0.8,0.8,0.8
315299.937500,4834430.500000,105.542603,0.8,0.8,0.8
315314.468750,4834385.000000,90.306801,0.8,0.8,0.8
315319.906250,4834403.500000,103.657333,0.8,0.8,0.8
315327.625000,4834406.000000,102.840103,0.8,0.8,0.8
315338.218750,4834377.000000,102.075264,0.8,0.8,0.8
315315.437500,4834333.500000,82.022430,0.8,0.8,0.8
315303.937500,4834413.000000,83.149368,0.8,0.8,0.8
315359.500000,4834372.500000,93.748436,0.8,0.8,0.8
315383.906250,4834380.500000,97.820648,0.8,0.8,0.8
315324.531250,4834412.000000,121.642448,0.8,0.8,0.8
315391.187500,4834382.500000,84.633598,0.8,0.8,0.8
315280.843750,4834416.500000,90.437302,0.8,0.8,0.8
315371.750000,4834399.000000,111.853683,0.8,0.8,0.8
315299.062500,4834363.500000,82.936737,0.8,0.8,0.8
315368.656250,4834415.000000,83.962502,0.8,0.8,0.8
315317.000000,4834309.000000,82.844284,0.8,0.8,0.8
315375.218750,4834396.500000,125.422134,0.8,0.8,0.8
315332.937500,4834325.500000,83.541100,0.8,0.8,0.8
315375.187500,4834375.000000,98.181503,0.8,0.8,0.8
315421.437500,4834395.000000,109.442596,0.8,0.8,0.8
315311.812500,4834320.500000,88.950699,0.8,0.8,0.8
315307.250000,4834338.500000,83.236649,0.8,0.8,0.8
315308.031250,4834345.500000,82.952744,0.8,0.8,0.8
315398.468750,4834374.500000,85.744003,0.8,0.8,0.8
315334.906250,4834360.000000,81.112999,0.8,0.8,0.8
315282.343750,4834414.000000,102.143501,0.8,0.8,0.8
315327.812500,4834406.000000,100.196999,0.8,0.8,0.8
315291.968750,4834383.500000,89.641533,0.8,0.8,0.8
315369.468750,4834413.000000,94.794601,0.8,0.8,0.8
315340.781250,4834385.500000,101.469498,0.8,0.8,0.8
315317.843750,4834384.500000,82.264130,0.8,0.8,0.8
315425.125000,4834369.000000,85.768799,0.8,0.8,0.8
315364.156250,4834403.000000,84.771599,0.8,0.8,0.8
315299.031250,4834351.000000,84.848450,0.8,0.8,0.8
315384.875000,4834357.000000,83.243553,0.8,0.8,0.8
315300.156250,4834359.500000,82.321899,0.8,0.8,0.8
315317.937500,4834370.500000,82.544411,0.8,0.8,0.8
315383.843750,4834381.000000,86.338127,0.8,0.8,0.8
315329.968750,4834332.000000,84.249100,0.8,0.8,0.8
315306.906250,4834414.000000,121.987701,0.8,0.8,0.8
315302.406250,4834403.500000,82.428108,0.8,0.8,0.8
315388.812500,4834360.500000,90.439919,0.8,0.8,0.8
315311.281250,4834392.000000,92.944237,0.8,0.8,0.8
315340.718750,4834395.500000,102.014175,0.8,0.8,0.8
315368.000000,4834380.500000,86.951126,0.8,0.8,0.8
315361.875000,4834345.500000,86.623398,0.8,0.8,0.8
315333.500000,4834404.500000,101.482735,0.8,0.8,0.8
315337.500000,4834378.000000,98.746162,0.8,0.8,0.8
315313.906250,4834409.000000,121.258301,0.8,0.8,0.8
315280.062500,4834430.000000,82.568199,0.8,0.8,0.8
315418.406250,4834399.500000,99.452133,0.8,0.8,0.8
315316.250000,4834380.500000,95.259399,0.8,0.8,0.8
315322.437500,4834289.500000,89.640099,0.8,0.8,0.8
315352.093750,4834321.500000,95.707718,0.8,0.8,0.8
315300.812500,4834406.000000,83.838669,0.8,0.8,0.8
315366.218750,4834344.500000,81.824203,0.8,0.8,0.8
315363.312500,4834375.500000,86.360901,0.8,0.8,0.8
315305.750000,4834385.500000,100.388702,0.8,0.8,0.8
315322.093750,4834381.000000,87.810600,0.8,0.8,0.8
315400.187500,4834366.500000,83.510201,0.8,0.8,0.8
315281.093750,4834415.000000,102.711403,0.8,0.8,0.8
315346.843750,4834324.000000,95.345947,0.8,0.8,0.8
315346.406250,4834401.000000,98.718140,0.8,0.8,0.8
315321.156250,4834402.500000,100.042870,0.8,0.8,0.8
315274.500000,4834325.500000,88.943024,0.8,0.8,0.8
315426.281250,4834374.500000,84.270897,0.8,0.8,0.8
315368.062500,4834378.000000,81.474678,0.8,0.8,0.8
315370.687500,4834406.500000,103.451454,0.8,0.8,0.8
315300.687500,4834428.500000,108.095047,0.8,0.8,0.8
315369.312500,4834413.000000,85.855598,0.8,0.8,0.8
315326.687500,4834289.000000,82.255852,0.8,0.8,0.8
315258.562500,4834320.000000,89.739799,0.8,0.8,0.8
315355.500000,4834383.500000,109.241753,0.8,0.8,0.8
315288.500000,4834392.000000,102.741302,0.8,0.8,0.8
315374.531250,4834383.500000,86.945313,0.8,0.8,0.8
315365.312500,4834370.500000,81.445206,0.8,0.8,0.8
315379.437500,4834361.000000,83.782898,0.8,0.8,0.8
315314.687500,4834346.000000,90.672203,0.8,0.8,0.8
315332.562500,4834326.500000,81.266701,0.8,0.8,0.8
315384.718750,4834380.500000,89.168900,0.8,0.8,0.8
315329.375000,4834322.500000,87.958397,0.8,0.8,0.8
315279.718750,4834419.500000,103.643311,0.8,0.8,0.8
315279.062500,4834346.000000,87.595001,0.8,0.8,0.8
315301.718750,4834355.000000,92.038139,0.8,0.8,0.8
315340.000000,4834367.000000,100.445427,0.8,0.8,0.8
315351.500000,4834345.500000,86.562401,0.8,0.8,0.8
315311.250000,4834317.000000,84.657135,0.8,0.8,0.8
315295.093750,4834374.500000,107.541138,0.8,0.8,0.8
315344.093750,4834390.500000,99.540062,0.8,0.8,0.8
315384.062500,4834380.000000,96.930130,0.8,0.8,0.8
315315.437500,4834379.500000,100.339485,0.8,0.8,0.8
315357.093750,4834373.000000,88.840721,0.8,0.8,0.8
315398.468750,4834364.000000,90.828400,0.8,0.8,0.8
315346.093750,4834376.500000,81.783302,0.8,0.8,0.8
315284.406250,4834408.000000,84.129501,0.8,0.8,0.8
315296.406250,4834387.500000,82.226479,0.8,0.8,0.8
315305.718750,4834402.500000,82.486099,0.8,0.8,0.8
315285.531250,4834436.000000,83.091400,0.8,0.8,0.8
315319.031250,4834410.500000,98.771278,0.8,0.8,0.8
315282.468750,4834420.500000,82.870598,0.8,0.8,0.8
315373.625000,4834373.500000,88.150986,0.8,0.8,0.8
315310.343750,4834319.500000,82.146225,0.8,0.8,0.8
315320.156250,4834289.500000,104.487000,0.8,0.8,0.8
315428.531250,4834359.500000,85.254951,0.8,0.8,0.8
315296.218750,4834430.000000,83.016068,0.8,0.8,0.8
315338.500000,4834379.000000,98.729248,0.8,0.8,0.8
315313.312500,4834331.500000,85.237137,0.8,0.8,0.8
315377.343750,4834375.500000,87.146652,0.8,0.8,0.8
315366.875000,4834339.000000,82.273697,0.8,0.8,0.8
315302.875000,4834370.500000,85.541351,0.8,0.8,0.8
315290.281250,4834437.000000,82.998398,0.8,0.8,0.8
315346.093750,4834385.500000,98.702568,0.8,0.8,0.8
315320.437500,4834470.500000,114.119301,0.8,0.8,0.8
315379.250000,4834380.500000,84.727257,0.8,0.8,0.8
315334.906250,4834406.500000,100.443611,0.8,0.8,0.8
315285.593750,4834401.000000,106.049850,0.8,0.8,0.8
315409.250000,4834388.500000,81.715202,0.8,0.8,0.8
315363.718750,4834360.000000,84.832664,0.8,0.8,0.8
315338.281250,4834359.500000,83.438110,0.8,0.8,0.8
315366.843750,4834416.500000,102.855103,0.8,0.8,0.8
315362.000000,4834379.500000,98.665260,0.8,0.8,0.8
315356.031250,4834386.000000,107.540916,0.8,0.8,0.8
315349.562500,4834397.000000,99.639824,0.8,0.8,0.8
315278.125000,4834423.500000,86.154869,0.8,0.8,0.8
315365.312500,4834381.000000,81.547401,0.8,0.8,0.8
315370.625000,4834314.500000,101.370796,0.8,0.8,0.8
315302.343750,4834418.000000,95.335884,0.8,0.8,0.8
315352.812500,4834373.500000,83.434952,0.8,0.8,0.8
315314.343750,4834329.500000,83.342674,0.8,0.8,0.8
315311.750000,4834322.500000,93.078400,0.8,0.8,0.8
315367.625000,4834372.000000,92.432571,0.8,0.8,0.8
315334.312500,4834365.000000,84.750854,0.8,0.8,0.8
315383.750000,4834366.000000,82.984596,0.8,0.8,0.8
315277.000000,4834454.000000,95.674400,0.8,0.8,0.8
315350.156250,4834322.500000,99.421097,0.8,0.8,0.8
315290.906250,4834381.000000,92.587196,0.8,0.8,0.8
315346.343750,4834346.000000,90.264900,0.8,0.8,0.8
315314.812500,4834410.500000,101.900497,0.8,0.8,0.8
315277.062500,4834324.000000,99.247925,0.8,0.8,0.8
315312.375000,4834317.500000,85.611702,0.8,0.8,0.8
