x,y,z,r,g,b
315326,4.83436e+006,87.5054,0.8,0.8,0.8
315320,4.83437e+006,100.357,0.8,0.8,0.8
315374,4.83437e+006,88.1468,0.8,0.8,0.8
315317,4.8344e+006,84.1859,0.8,0.8,0.8
315379,4.83439e+006,114.875,0.8,0.8,0.8
315374,4.83438e+006,82.9811,0.8,0.8,0.8
315348,4.83438e+006,105.542,0.8,0.8,0.8
315283,4.83441e+006,103.94,0.8,0.8,0.8
315347,4.83435e+006,90.6965,0.8,0.8,0.8
315350,4.83432e+006,94.668,0.8,0.8,0.8
315337,4.83431e+006,91.548,0.8,0.8,0.8
315295,4.83436e+006,86.1541,0.8,0.8,0.8
315297,4.83433e+006,94.7375,0.8,0.8,0.8
315362,4.83438e+006,83.5624,0.8,0.8,0.8
315366,4.83437e+006,85.6838,0.8,0.8,0.8
315303,4.83438e+006,82.023,0.8,0.8,0.8
315446,4.83438e+006,90.4061,0.8,0.8,0.8
315360,4.83437e+006,84.3358,0.8,0.8,0.8
315330,4.83434e+006,81.685,0.8,0.8,0.8
315368,4.83442e+006,124.552,0.8,0.8,0.8
315356,4.83439e+006,107.544,0.8,0.8,0.8
315357,4.83435e+006,81.6347,0.8,0.8,0.8
315336,4.83437e+006,102.175,0.8,0.8,0.8
315340,4.83435e+006,88.8208,0.8,0.8,0.8
315350,4.83435e+006,88.9837,0.8,0.8,0.8
315380,4.83439e+006,89.4648,0.8,0.8,0.8
315321,4.83439e+006,100.074,0.8,0.8,0.8
315323,4.83434e+006,81.1014,0.8,0.8,0.8
315419,4.8344e+006,117.396,0.8,0.8,0.8
315313,4.83434e+006,81.5507,0.8,0.8,0.8
315312,4.83439e+006,82.2636,0.8,0.8,0.8
315331,4.83436e+006,82.8071,0.8,0.8,0.8
315447,4.83438e+006,92.1084,0.8,0.8,0.8
315428,4.8344e+006,106.202,0.8,0.8,0.8
315329,4.83442e+006,124.293,0.8,0.8,0.8
315296,4.83445e+006,111.434,0.8,0.8,0.8
315357,4.83434e+006,83.1906,0.8,0.8,0.8
315342,4.83437e+006,87.7722,0.8,0.8,0.8
315314,4.83432e+006,96.2018,0.8,0.8,0.8
315310,4.8344e+006,88.7379,0.8,0.8,0.8
315352,4.8344e+006,102.354,0.8,0.8,0.8
315297,4.83437e+006,109.138,0.8,0.8,0.8
315295,4.83442e+006,83.2489,0.8,0.8,0.8
315321,4.83437e+006,97.8201,0.8,0.8,0.8
315380,4.83436e+006,91.3617,0.8,0.8,0.8
315342,4.83434e+006,92.1861,0.8,0.8,0.8
315331,4.83435e+006,83.9579,0.8,0.8,0.8
315349,4.83436e+006,83.6564,0.8,0.8,0.8
315292,4.83432e+006,81.9023,0.8,0.8,0.8
315383,4.83438e+006,105.458,0.8,0.8,0.8
315295,4.83437e+006,85.1786,0.8,0.8,0.8
315317,4.83436e+006,82.7569,0.8,0.8,0.8
315368,4.83442e+006,125.079,0.8,0.8,0.8
315329,4.83437e+006,95.3228,0.8,0.8,0.8
315339,4.83434e+006,84.2908,0.8,0.8,0.8
315314,4.83441e+006,99.1479,0.8,0.8,0.8
315305,4.83441e+006,99.5187,0.8,0.8,0.8
315327,4.83436e+006,98.74,0.8,0.8,0.8
315359,4.83437e+006,88.7049,0.8,0.8,0.8
315320,4.8344e+006,100.348,0.8,0.8,0.8
315321,4.8344e+006,101.828,0.8,0.8,0.8
315420,4.83439e+006,87.9081,0.8,0.8,0.8
315417,4.83439e+006,96.5939,0.8,0.8,0.8
315318,4.83435e+006,81.5819,0.8,0.8,0.8
315322,4.83436e+006,81.5988,0.8,0.8,0.8
315280,4.83442e+006,84.6458,0.8,0.8,0.8
315294,4.83438e+006,109.541,0.8,0.8,0.8
315336,4.83443e+006,116.88,0.8,0.8,0.8
315288,4.8344e+006,87.1408,0.8,0.8,0.8
315269,4.83435e+006,110.539,0.8,0.8,0.8
315340,4.83435e+006,92.6396,0.8,0.8,0.8
315322,4.83439e+006,98.7274,0.8,0.8,0.8
315342,4.83434e+006,96.7453,0.8,0.8,0.8
315340,4.83437e+006,99.4442,0.8,0.8,0.8
315321,4.83436e+006,81.7438,0.8,0.8,0.8
315357,4.83436e+006,83.1399,0.8,0.8,0.8
315318,4.83438e+006,93.333,0.8,0.8,0.8
315378,4.83436e+006,91.4675,0.8,0.8,0.8
315366,4.83434e+006,82.0204,0.8,0.8,0.8
315278,4.83443e+006,87.8943,0.8,0.8,0.8
315353,4.83439e+006,81.7823,0.8,0.8,0.8
315275,4.83435e+006,100.654,0.8,0.8,0.8
315307,4.83434e+006,93.7153,0.8,0.8,0.8
315322,4.83437e+006,100.741,0.8,0.8,0.8
315332,4.83434e+006,96.1665,0.8,0.8,0.8
315294,4.83438e+006,91.9588,0.8,0.8,0.8
315353,4.83438e+006,86.6458,0.8,0.8,0.8
315370,4.83441e+006,111.445,0.8,0.8,0.8
315340,4.83435e+006,81.4957,0.8,0.8,0.8
315345,4.83439e+006,101.217,0.8,0.8,0.8
315387,4.83438e+006,96.9865,0.8,0.8,0.8
315304,4.83435e+006,82.9933,0.8,0.8,0.8
315380,4.83436e+006,81.4224,0.8,0.8,0.8
315302,4.83442e+006,99.5399,0.8,0.8,0.8
315321,4.83439e+006,102.001,0.8,0.8,0.8
315302,4.83437e+006,82.7339,0.8,0.8,0.8
315347,4.83432e+006,87.1628,0.8,0.8,0.8
315363,4.83439e+006,99.9369,0.8,0.8,0.8
315331,4.83437e+006,101.044,0.8,0.8,0.8
315367,4.83438e+006,82.7721,0.8,0.8,0.8
315378,4.83437e+006,85.2165,0.8,0.8,0.8
315338,4.83441e+006,105.714,0.8,0.8,0.8
315359,4.83437e+006,84.6268,0.8,0.8,0.8
315267,4.83444e+006,83.5898,0.8,0.8,0.8
315360,4.83438e+006,83.3194,0.8,0.8,0.8
315370,4.83435e+006,83.5653,0.8,0.8,0.8
315330,4.83431e+006,80.5711,0.8,0.8,0.8
315314,4.83434e+006,83.3647,0.8,0.8,0.8
315291,4.83439e+006,89.1317,0.8,0.8,0.8
315333,4.83435e+006,82.9837,0.8,0.8,0.8
315340,4.83437e+006,101.616,0.8,0.8,0.8
315350,4.83432e+006,92.3371,0.8,0.8,0.8
315311,4.83436e+006,88.8248,0.8,0.8,0.8
315318,4.83436e+006,81.6639,0.8,0.8,0.8
315339,4.83439e+006,101.976,0.8,0.8,0.8
315374,4.83438e+006,82.0264,0.8,0.8,0.8
315343,4.83436e+006,83.1811,0.8,0.8,0.8
315328,4.83437e+006,82.0758,0.8,0.8,0.8
315280,4.83443e+006,83.0295,0.8,0.8,0.8
315419,4.83439e+006,87.9045,0.8,0.8,0.8
315360,4.83435e+006,81.1801,0.8,0.8,0.8
315399,4.83438e+006,87.4086,0.8,0.8,0.8
315342,4.83434e+006,85.5696,0.8,0.8,0.8
315337,4.83438e+006,99.4577,0.8,0.8,0.8
315374,4.8344e+006,123.907,0.8,0.8,0.8
315296,4.83443e+006,82.3477,0.8,0.8,0.8
315308,4.8344e+006,82.4522,0.8,0.8,0.8
315334,4.83437e+006,86.7484,0.8,0.8,0.8
315300,4.83438e+006,84.0849,0.8,0.8,0.8
315363,4.83436e+006,87.7942,0.8,0.8,0.8
315394,4.83438e+006,81.5546,0.8,0.8,0.8
315340,4.83441e+006,82.0483,0.8,0.8,0.8
315280,4.83434e+006,84.2728,0.8,0.8,0.8
315315,4.83435e+006,88.0389,0.8,0.8,0.8
315299,4.83436e+006,103.255,0.8,0.8,0.8
315355,4.83436e+006,84.5825,0.8,0.8,0.8
315333,4.83433e+006,97.8178,0.8,0.8,0.8
315304,4.83436e+006,82.4771,0.8,0.8,0.8
315379,4.83438e+006,82.743,0.8,0.8,0.8
315308,4.83441e+006,121.071,0.8,0.8,0.8
315329,4.83436e+006,90.5703,0.8,0.8,0.8
315352,4.83439e+006,99.5411,0.8,0.8,0.8
315281,4.83442e+006,82.9518,0.8,0.8,0.8
315375,4.83435e+006,91.5196,0.8,0.8,0.8
315337,4.83437e+006,101.3,0.8,0.8,0.8
315292,4.8344e+006,82.4434,0.8,0.8,0.8
315282,4.83442e+006,91.9146,0.8,0.8,0.8
315294,4.83433e+006,88.5902,0.8,0.8,0.8
315378,4.83438e+006,90.1939,0.8,0.8,0.8
315360,4.83437e+006,85.0507,0.8,0.8,0.8
315336,4.83437e+006,85.1334,0.8,0.8,0.8
315337,4.83443e+006,111.006,0.8,0.8,0.8
315294,4.83433e+006,87.1091,0.8,0.8,0.8
315261,4.83433e+006,82.1131,0.8,0.8,0.8
315309,4.83433e+006,95.5229,0.8,0.8,0.8
315332,4.83441e+006,82.1044,0.8,0.8,0.8
315348,4.83437e+006,93.7775,0.8,0.8,0.8
315373,4.8344e+006,105.122,0.8,0.8,0.8
315384,4.83436e+006,89.1455,0.8,0.8,0.8
315297,4.83437e+006,90.1008,0.8,0.8,0.8
315365,4.83437e+006,98.7873,0.8,0.8,0.8
315366,4.83442e+006,114.82,0.8,0.8,0.8
315339,4.83437e+006,90.7175,0.8,0.8,0.8
315310,4.83441e+006,109.137,0.8,0.8,0.8
315317,4.83429e+006,107.141,0.8,0.8,0.8
315296,4.83435e+006,104.653,0.8,0.8,0.8
315348,4.83436e+006,82.3402,0.8,0.8,0.8
315400,4.83438e+006,82.0212,0.8,0.8,0.8
315394,4.83438e+006,81.6887,0.8,0.8,0.8
315329,4.83436e+006,89.7838,0.8,0.8,0.8
315398,4.83436e+006,88.3092,0.8,0.8,0.8
315308,4.83439e+006,86.8053,0.8,0.8,0.8
315329,4.83434e+006,81.665,0.8,0.8,0.8
315342,4.83439e+006,101.777,0.8,0.8,0.8
315290,4.83433e+006,89.6751,0.8,0.8,0.8
315317,4.83439e+006,101.333,0.8,0.8,0.8
315298,4.83437e+006,111.94,0.8,0.8,0.8
315357,4.83432e+006,100.334,0.8,0.8,0.8
315314,4.83441e+006,106.292,0.8,0.8,0.8
315309,4.83433e+006,81.6065,0.8,0.8,0.8
315309,4.83434e+006,90.5765,0.8,0.8,0.8
315309,4.83439e+006,84.1841,0.8,0.8,0.8
315296,4.83437e+006,90.3728,0.8,0.8,0.8
315386,4.83438e+006,82.3702,0.8,0.8,0.8
315328,4.83441e+006,82.2793,0.8,0.8,0.8
315364,4.83438e+006,83.2155,0.8,0.8,0.8
315377,4.83432e+006,91.4988,0.8,0.8,0.8
315354,4.83437e+006,82.495,0.8,0.8,0.8
315370,4.83434e+006,86.0021,0.8,0.8,0.8
315297,4.83437e+006,110.742,0.8,0.8,0.8
315281,4.83442e+006,90.3389,0.8,0.8,0.8
315332,4.83433e+006,92.349,0.8,0.8,0.8
315303,4.83437e+006,85.2542,0.8,0.8,0.8
315365,4.83434e+006,82.3312,0.8,0.8,0.8
315342,4.83438e+006,99.1439,0.8,0.8,0.8
315323,4.83437e+006,101.101,0.8,0.8,0.8
315335,4.83443e+006,116.879,0.8,0.8,0.8
315386,4.83438e+006,85.5999,0.8,0.8,0.8
315357,4.83437e+006,89.2141,0.8,0.8,0.8
315381,4.83436e+006,83.376,0.8,0.8,0.8
315374,4.83438e+006,81.6862,0.8,0.8,0.8
315351,4.83436e+006,85.4814,0.8,0.8,0.8
315278,4.83443e+006,86.7425,0.8,0.8,0.8
315329,4.83437e+006,99.281,0.8,0.8,0.8
315293,4.83438e+006,84.339,0.8,0.8,0.8
315349,4.83436e+006,84.0464,0.8,0.8,0.8
315276,4.83446e+006,102.874,0.8,0.8,0.8
315366,4.83437e+006,89.9825,0.8,0.8,0.8
315326,4.83437e+006,102.101,0.8,0.8,0.8
315362,4.83438e+006,86.9674,0.8,0.8,0.8
315378,4.83435e+006,83.8671,0.8,0.8,0.8
315319,4.83436e+006,84.7149,0.8,0.8,0.8
315288,4.83435e+006,107.166,0.8,0.8,0.8
315309,4.8344e+006,86.7387,0.8,0.8,0.8
315342,4.83432e+006,107.906,0.8,0.8,0.8
315343,4.8343e+006,105.092,0.8,0.8,0.8
315292,4.83438e+006,99.5294,0.8,0.8,0.8
315382,4.83439e+006,116.361,0.8,0.8,0.8
315346,4.83436e+006,84.4501,0.8,0.8,0.8
315292,4.83444e+006,82.8766,0.8,0.8,0.8
315305,4.83436e+006,83.1178,0.8,0.8,0.8
315302,4.83442e+006,85.9416,0.8,0.8,0.8
315318,4.83436e+006,83.9125,0.8,0.8,0.8
315353,4.83437e+006,85.2214,0.8,0.8,0.8
315401,4.83439e+006,83.8546,0.8,0.8,0.8
315290,4.83438e+006,115.939,0.8,0.8,0.8
315268,4.83433e+006,84.8227,0.8,0.8,0.8
315353,4.83438e+006,102.008,0.8,0.8,0.8
315316,4.83438e+006,94.3444,0.8,0.8,0.8
315313,4.83432e+006,83.5325,0.8,0.8,0.8
315355,4.83437e+006,83.1463,0.8,0.8,0.8
315392,4.83438e+006,85.3078,0.8,0.8,0.8
315335,4.83437e+006,98.7302,0.8,0.8,0.8
315338,4.83436e+006,87.554,0.8,0.8,0.8
315313,4.83435e+006,81.5792,0.8,0.8,0.8
315313,4.83435e+006,89.1585,0.8,0.8,0.8
315352,4.83436e+006,83.908,0.8,0.8,0.8
315319,4.83435e+006,84.9677,0.8,0.8,0.8
315322,4.83435e+006,83.3388,0.8,0.8,0.8
315348,4.8343e+006,93.7543,0.8,0.8,0.8
315351,4.83439e+006,82.3413,0.8,0.8,0.8
315387,4.83436e+006,92.0792,0.8,0.8,0.8
315312,4.83439e+006,102.745,0.8,0.8,0.8
315369,4.83432e+006,95.7556,0.8,0.8,0.8
315372,4.83433e+006,89.5452,0.8,0.8,0.8
315304,4.8344e+006,82.3022,0.8,0.8,0.8
315320,4.83437e+006,99.5539,0.8,0.8,0.8
315328,4.83436e+006,91.1594,0.8,0.8,0.8
315285,4.83439e+006,86.8928,0.8,0.8,0.8
315358,4.83437e+006,99.5768,0.8,0.8,0.8
315344,4.83438e+006,98.7506,0.8,0.8,0.8
315295,4.83438e+006,109.941,0.8,0.8,0.8
315386,4.83438e+006,103.56,0.8,0.8,0.8
315321,4.83429e+006,85.1471,0.8,0.8,0.8
315358,4.83435e+006,81.9863,0.8,0.8,0.8
315416,4.83439e+006,109.186,0.8,0.8,0.8
315380,4.83439e+006,111.866,0.8,0.8,0.8
