x,y,z,r,g,b
513511,5.40327e+006,295.76,0.8,0.8,0.8
513614,5.40367e+006,286.92,0.8,0.8,0.8
513164,5.40347e+006,293.35,0.8,0.8,0.8
513626,5.40371e+006,286.69,0.8,0.8,0.8
513564,5.40341e+006,287.68,0.8,0.8,0.8
513573,5.40339e+006,306.33,0.8,0.8,0.8
513414,5.40332e+006,290.07,0.8,0.8,0.8
513468,5.40366e+006,295.23,0.8,0.8,0.8
513438,5.40337e+006,301.89,0.8,0.8,0.8
513306,5.4036e+006,326.07,0.8,0.8,0.8
513133,5.40322e+006,293.83,0.8,0.8,0.8
513180,5.40321e+006,330.25,0.8,0.8,0.8
513338,5.40321e+006,306.05,0.8,0.8,0.8
513404,5.40343e+006,304.7,0.8,0.8,0.8
513524,5.40346e+006,288.71,0.8,0.8,0.8
513594,5.40339e+006,287.81,0.8,0.8,0.8
513185,5.40364e+006,325.77,0.8,0.8,0.8
513436,5.40343e+006,294.53,0.8,0.8,0.8
513449,5.40358e+006,304.65,0.8,0.8,0.8
513159,5.40334e+006,318.87,0.8,0.8,0.8
513150,5.40344e+006,293.5,0.8,0.8,0.8
513315,5.40333e+006,294.65,0.8,0.8,0.8
513167,5.40352e+006,294.33,0.8,0.8,0.8
513613,5.40369e+006,286.9,0.8,0.8,0.8
513499,5.40361e+006,294.94,0.8,0.8,0.8
513513,5.40326e+006,289.84,0.8,0.8,0.8
513281,5.40347e+006,314.38,0.8,0.8,0.8
513245,5.40331e+006,291.97,0.8,0.8,0.8
513516,5.40337e+006,299.53,0.8,0.8,0.8
513389,5.40351e+006,298.67,0.8,0.8,0.8
513311,5.40355e+006,307.91,0.8,0.8,0.8
513310,5.40336e+006,291.31,0.8,0.8,0.8
513386,5.40356e+006,297.77,0.8,0.8,0.8
513278,5.40362e+006,326.24,0.8,0.8,0.8
513410,5.40363e+006,304.69,0.8,0.8,0.8
513624,5.40374e+006,292.33,0.8,0.8,0.8
513578,5.40343e+006,287.59,0.8,0.8,0.8
513392,5.40339e+006,316.39,0.8,0.8,0.8
513385,5.40336e+006,315.74,0.8,0.8,0.8
513538,5.40366e+006,295.2,0.8,0.8,0.8
513196,5.40322e+006,308.62,0.8,0.8,0.8
513225,5.40352e+006,296.1,0.8,0.8,0.8
513384,5.40329e+006,290.48,0.8,0.8,0.8
513300,5.40357e+006,295.38,0.8,0.8,0.8
513476,5.40364e+006,294.83,0.8,0.8,0.8
513450,5.40375e+006,300.02,0.8,0.8,0.8
513489,5.4035e+006,306.61,0.8,0.8,0.8
513380,5.40349e+006,300.04,0.8,0.8,0.8
513486,5.40368e+006,295.35,0.8,0.8,0.8
