x,y,z,r,g,b
496956.250000,5421605.500000,302.410004,0.8,0.8,0.8
496699.593750,5421699.500000,298.980011,0.8,0.8,0.8
497175.156250,5422329.000000,287.369995,0.8,0.8,0.8
496738.437500,5422256.000000,293.640015,0.8,0.8,0.8
496684.000000,5421987.000000,296.510010,0.8,0.8,0.8
496748.562500,5422028.500000,290.630005,0.8,0.8,0.8
496267.500000,5421680.500000,303.970001,0.8,0.8,0.8
496900.250000,5421446.500000,313.660004,0.8,0.8,0.8
496920.625000,5422077.000000,282.260010,0.8,0.8,0.8
496213.125000,5421397.500000,290.649994,0.8,0.8,0.8
496705.718750,5421993.000000,295.559998,0.8,0.8,0.8
496446.500000,5421943.000000,303.070007,0.8,0.8,0.8
496006.625000,5421665.000000,309.170013,0.8,0.8,0.8
496487.625000,5421748.500000,294.799988,0.8,0.8,0.8
496182.187500,5422019.000000,307.450012,0.8,0.8,0.8
496671.343750,5421635.500000,292.130005,0.8,0.8,0.8
497082.281250,5422005.500000,276.910004,0.8,0.8,0.8
496239.906250,5421538.000000,296.950012,0.8,0.8,0.8
496631.781250,5422005.500000,297.850006,0.8,0.8,0.8
496368.218750,5421735.000000,302.290009,0.8,0.8,0.8
496825.687500,5422078.500000,287.880005,0.8,0.8,0.8
496529.781250,5421550.000000,291.200012,0.8,0.8,0.8
496445.531250,5421519.000000,292.119995,0.8,0.8,0.8
496751.718750,5421698.000000,289.559998,0.8,0.8,0.8
496994.281250,5422173.500000,287.339996,0.8,0.8,0.8
496816.156250,5422254.500000,292.390015,0.8,0.8,0.8
496220.062500,5421754.000000,308.779999,0.8,0.8,0.8
496358.750000,5421587.000000,297.579987,0.8,0.8,0.8
496708.093750,5422266.500000,294.320007,0.8,0.8,0.8
496679.625000,5422261.000000,294.480011,0.8,0.8,0.8
496844.625000,5422149.500000,287.980011,0.8,0.8,0.8
496255.843750,5422020.000000,306.059998,0.8,0.8,0.8
496591.375000,5422124.000000,291.950012,0.8,0.8,0.8
496791.937500,5421631.000000,287.290009,0.8,0.8,0.8
495971.250000,5422290.000000,303.760010,0.8,0.8,0.8
496290.406250,5421496.000000,292.829987,0.8,0.8,0.8
496073.625000,5421520.500000,300.579987,0.8,0.8,0.8
496812.562500,5421607.500000,282.660004,0.8,0.8,0.8
497199.000000,5422277.000000,286.829987,0.8,0.8,0.8
