x,y,z,r,g,b
496819,5.4216e+006,279.97,0.8,0.8,0.8
496513,5.42203e+006,296.59,0.8,0.8,0.8
497039,5.42208e+006,280.49,0.8,0.8,0.8
496955,5.42139e+006,290.18,0.8,0.8,0.8
496199,5.42192e+006,311.68,0.8,0.8,0.8
496312,5.42149e+006,292.33,0.8,0.8,0.8
497124,5.42157e+006,301.31,0.8,0.8,0.8
496765,5.42224e+006,292.54,0.8,0.8,0.8
496052,5.42224e+006,305.45,0.8,0.8,0.8
496360,5.42226e+006,296.36,0.8,0.8,0.8
496019,5.42142e+006,272.85,0.8,0.8,0.8
497062,5.42226e+006,288.76,0.8,0.8,0.8
496826,5.42167e+006,290.1,0.8,0.8,0.8
496829,5.42165e+006,290.33,0.8,0.8,0.8
496846,5.42147e+006,311.99,0.8,0.8,0.8
496408,5.42144e+006,287.72,0.8,0.8,0.8
497164,5.42229e+006,287.73,0.8,0.8,0.8
497025,5.42178e+006,281.71,0.8,0.8,0.8
496567,5.42199e+006,306.37,0.8,0.8,0.8
496535,5.42217e+006,294.56,0.8,0.8,0.8
496952,5.4216e+006,297.82,0.8,0.8,0.8
496612,5.42159e+006,282.98,0.8,0.8,0.8
496942,5.42136e+006,291.41,0.8,0.8,0.8
496966,5.42153e+006,293.78,0.8,0.8,0.8
496893,5.42212e+006,285.59,0.8,0.8,0.8
497126,5.42162e+006,301.31,0.8,0.8,0.8
496939,5.42174e+006,291.37,0.8,0.8,0.8
496201,5.42218e+006,300.03,0.8,0.8,0.8
496825,5.42219e+006,289.99,0.8,0.8,0.8
496287,5.42204e+006,303.81,0.8,0.8,0.8
495995,5.42228e+006,316.11,0.8,0.8,0.8
496915,5.4216e+006,323.34,0.8,0.8,0.8
496004,5.42139e+006,271.39,0.8,0.8,0.8
496958,5.42144e+006,291.99,0.8,0.8,0.8
496239,5.422e+006,307.73,0.8,0.8,0.8
496316,5.42208e+006,300.7,0.8,0.8,0.8
496886,5.42219e+006,288.89,0.8,0.8,0.8
496284,5.42146e+006,291.97,0.8,0.8,0.8
496335,5.42146e+006,290.57,0.8,0.8,0.8
496584,5.42214e+006,292.57,0.8,0.8,0.8
497041,5.42162e+006,301.67,0.8,0.8,0.8
496097,5.42156e+006,302.32,0.8,0.8,0.8
497101,5.42152e+006,297.63,0.8,0.8,0.8
496076,5.42159e+006,304.88,0.8,0.8,0.8
496674,5.42161e+006,290.58,0.8,0.8,0.8
496477,5.42177e+006,297.26,0.8,0.8,0.8
496312,5.42148e+006,291.56,0.8,0.8,0.8
497199,5.42199e+006,278.6,0.8,0.8,0.8
496716,5.42193e+006,298.61,0.8,0.8,0.8
496506,5.42198e+006,300.4,0.8,0.8,0.8
496567,5.4214e+006,272.32,0.8,0.8,0.8
496972,5.42204e+006,279.02,0.8,0.8,0.8
496822,5.42152e+006,293.57,0.8,0.8,0.8
496511,5.42217e+006,295.03,0.8,0.8,0.8
497187,5.42196e+006,280.27,0.8,0.8,0.8
497175,5.42228e+006,287.21,0.8,0.8,0.8
496767,5.42166e+006,286.84,0.8,0.8,0.8
496673,5.42215e+006,291.69,0.8,0.8,0.8
495979,5.42171e+006,310.92,0.8,0.8,0.8
497182,5.42231e+006,287.23,0.8,0.8,0.8
496468,5.4222e+006,300.48,0.8,0.8,0.8
496475,5.42148e+006,294.55,0.8,0.8,0.8
496818,5.42208e+006,285.02,0.8,0.8,0.8
496991,5.42176e+006,278.62,0.8,0.8,0.8
496902,5.42164e+006,296.81,0.8,0.8,0.8
495983,5.42218e+006,299.24,0.8,0.8,0.8
496430,5.42212e+006,296.02,0.8,0.8,0.8
496710,5.42167e+006,295.65,0.8,0.8,0.8
496837,5.42165e+006,290.59,0.8,0.8,0.8
496038,5.42196e+006,314.6,0.8,0.8,0.8
496457,5.42219e+006,300.04,0.8,0.8,0.8
495969,5.42227e+006,324.35,0.8,0.8,0.8
496049,5.42178e+006,313.98,0.8,0.8,0.8
496165,5.42197e+006,311,0.8,0.8,0.8
496642,5.42232e+006,296.7,0.8,0.8,0.8
495999,5.42196e+006,312.79,0.8,0.8,0.8
497114,5.42149e+006,297.58,0.8,0.8,0.8
496654,5.42154e+006,281.1,0.8,0.8,0.8
496415,5.42203e+006,300.17,0.8,0.8,0.8
497171,5.42144e+006,297.34,0.8,0.8,0.8
496010,5.42153e+006,302.04,0.8,0.8,0.8
496434,5.42223e+006,307.73,0.8,0.8,0.8
496893,5.42153e+006,293.08,0.8,0.8,0.8
496993,5.42204e+006,278.93,0.8,0.8,0.8
496771,5.42142e+006,291.84,0.8,0.8,0.8
496012,5.42176e+006,313.65,0.8,0.8,0.8
496556,5.42177e+006,292.98,0.8,0.8,0.8
496250,5.42209e+006,301.27,0.8,0.8,0.8
496450,5.42224e+006,306.15,0.8,0.8,0.8
496769,5.42171e+006,289.72,0.8,0.8,0.8
496681,5.42224e+006,293.8,0.8,0.8,0.8
496344,5.4215e+006,292.42,0.8,0.8,0.8
496884,5.42169e+006,297.07,0.8,0.8,0.8
496197,5.42156e+006,299.18,0.8,0.8,0.8
496013,5.4223e+006,307.12,0.8,0.8,0.8
496770,5.42149e+006,299.28,0.8,0.8,0.8
496265,5.42176e+006,307.67,0.8,0.8,0.8
496307,5.42168e+006,302.73,0.8,0.8,0.8
496549,5.42162e+006,288.75,0.8,0.8,0.8
496205,5.42218e+006,302.24,0.8,0.8,0.8
495976,5.42191e+006,314.68,0.8,0.8,0.8
497137,5.4216e+006,300.68,0.8,0.8,0.8
497097,5.4218e+006,285.03,0.8,0.8,0.8
496829,5.42206e+006,283.5,0.8,0.8,0.8
497068,5.42158e+006,306.32,0.8,0.8,0.8
496779,5.42221e+006,291.29,0.8,0.8,0.8
496173,5.42158e+006,884.36,0.8,0.8,0.8
497129,5.42219e+006,285.88,0.8,0.8,0.8
496335,5.42206e+006,301.29,0.8,0.8,0.8
496878,5.42211e+006,285.56,0.8,0.8,0.8
496364,5.42158e+006,297.09,0.8,0.8,0.8
496398,5.42179e+006,303.09,0.8,0.8,0.8
496938,5.42163e+006,297.53,0.8,0.8,0.8
496383,5.42154e+006,294.42,0.8,0.8,0.8
497040,5.42204e+006,278.17,0.8,0.8,0.8
496231,5.42204e+006,305.3,0.8,0.8,0.8
497115,5.42156e+006,892.49,0.8,0.8,0.8
496525,5.42171e+006,290.37,0.8,0.8,0.8
497187,5.42154e+006,303.12,0.8,0.8,0.8
496789,5.42147e+006,287.34,0.8,0.8,0.8
497101,5.42194e+006,275.07,0.8,0.8,0.8
497073,5.4216e+006,878.64,0.8,0.8,0.8
496715,5.42163e+006,282.84,0.8,0.8,0.8
496464,5.42218e+006,300.65,0.8,0.8,0.8
497150,5.42141e+006,296.85,0.8,0.8,0.8
496989,5.42148e+006,297.54,0.8,0.8,0.8
496231,5.42216e+006,300.7,0.8,0.8,0.8
496886,5.42203e+006,280.96,0.8,0.8,0.8
496955,5.4214e+006,290.43,0.8,0.8,0.8
496671,5.42213e+006,291.07,0.8,0.8,0.8
496020,5.4214e+006,270.94,0.8,0.8,0.8
496431,5.42154e+006,293.49,0.8,0.8,0.8
496154,5.42174e+006,309.1,0.8,0.8,0.8
497115,5.42137e+006,287.69,0.8,0.8,0.8
496458,5.42165e+006,295.04,0.8,0.8,0.8
496725,5.42204e+006,291.35,0.8,0.8,0.8
496388,5.42172e+006,300.69,0.8,0.8,0.8
496943,5.42165e+006,297.15,0.8,0.8,0.8
497121,5.42178e+006,288.79,0.8,0.8,0.8
496159,5.42205e+006,305.27,0.8,0.8,0.8
495953,5.4223e+006,322.12,0.8,0.8,0.8
496226,5.42228e+006,301.39,0.8,0.8,0.8
497113,5.4214e+006,292.79,0.8,0.8,0.8
497074,5.42164e+006,308.64,0.8,0.8,0.8
496740,5.4216e+006,282.34,0.8,0.8,0.8
496113,5.42226e+006,303.27,0.8,0.8,0.8
497092,5.42207e+006,278.38,0.8,0.8,0.8
496002,5.42172e+006,311.14,0.8,0.8,0.8
496572,5.42208e+006,295.54,0.8,0.8,0.8
496839,5.42203e+006,283.21,0.8,0.8,0.8
496835,5.42194e+006,288.02,0.8,0.8,0.8
496924,5.42142e+006,312.46,0.8,0.8,0.8
496073,5.42232e+006,305.62,0.8,0.8,0.8
496669,5.42135e+006,273.86,0.8,0.8,0.8
497158,5.42205e+006,276.29,0.8,0.8,0.8
496825,5.42209e+006,286.58,0.8,0.8,0.8
495973,5.42206e+006,305.66,0.8,0.8,0.8
496082,5.42159e+006,304.77,0.8,0.8,0.8
496325,5.42221e+006,297.09,0.8,0.8,0.8
496941,5.42158e+006,297.72,0.8,0.8,0.8
496225,5.4215e+006,296.01,0.8,0.8,0.8
496522,5.42204e+006,296.07,0.8,0.8,0.8
496644,5.42231e+006,296.16,0.8,0.8,0.8
496853,5.42195e+006,286.33,0.8,0.8,0.8
496540,5.4214e+006,275.65,0.8,0.8,0.8
496575,5.42142e+006,275.25,0.8,0.8,0.8
496962,5.42164e+006,297.41,0.8,0.8,0.8
496407,5.42201e+006,301.56,0.8,0.8,0.8
496235,5.42144e+006,292.62,0.8,0.8,0.8
497052,5.42171e+006,291.18,0.8,0.8,0.8
496742,5.42138e+006,297.06,0.8,0.8,0.8
496782,5.42212e+006,288.74,0.8,0.8,0.8
496239,5.42164e+006,301.31,0.8,0.8,0.8
496095,5.42194e+006,313.41,0.8,0.8,0.8
496634,5.42192e+006,297,0.8,0.8,0.8
496358,5.4217e+006,301.65,0.8,0.8,0.8
495990,5.42161e+006,307.95,0.8,0.8,0.8
496925,5.42148e+006,297.39,0.8,0.8,0.8
496273,5.42207e+006,302.38,0.8,0.8,0.8
496487,5.422e+006,302.75,0.8,0.8,0.8
496714,5.42166e+006,283.73,0.8,0.8,0.8
496924,5.42144e+006,311.81,0.8,0.8,0.8
496642,5.42179e+006,295.5,0.8,0.8,0.8
497040,5.42171e+006,292.11,0.8,0.8,0.8
496877,5.42207e+006,283.58,0.8,0.8,0.8
497139,5.42146e+006,297.54,0.8,0.8,0.8
495980,5.42202e+006,308.7,0.8,0.8,0.8
496007,5.42208e+006,305.09,0.8,0.8,0.8
496570,5.42201e+006,296.84,0.8,0.8,0.8
496594,5.42226e+006,295.82,0.8,0.8,0.8
496171,5.42149e+006,297.3,0.8,0.8,0.8
497117,5.4214e+006,294.49,0.8,0.8,0.8
496416,5.4222e+006,296,0.8,0.8,0.8
497006,5.42205e+006,279.29,0.8,0.8,0.8
496220,5.42202e+006,306.61,0.8,0.8,0.8
496198,5.4217e+006,305.28,0.8,0.8,0.8
496582,5.42213e+006,292.12,0.8,0.8,0.8
497153,5.42204e+006,280.12,0.8,0.8,0.8
496486,5.42169e+006,292.66,0.8,0.8,0.8
496027,5.42137e+006,272.42,0.8,0.8,0.8
497163,5.42225e+006,287.05,0.8,0.8,0.8
496144,5.42171e+006,306.97,0.8,0.8,0.8
496360,5.42142e+006,286.55,0.8,0.8,0.8
496883,5.42138e+006,308.88,0.8,0.8,0.8
496793,5.42149e+006,304.51,0.8,0.8,0.8
496719,5.42169e+006,286.97,0.8,0.8,0.8
496802,5.42228e+006,293.48,0.8,0.8,0.8
496997,5.42161e+006,297.94,0.8,0.8,0.8
496407,5.42169e+006,298.45,0.8,0.8,0.8
496612,5.42149e+006,276.04,0.8,0.8,0.8
497044,5.42171e+006,291.88,0.8,0.8,0.8
496539,5.42203e+006,296.1,0.8,0.8,0.8
496177,5.4223e+006,305.43,0.8,0.8,0.8
496478,5.42148e+006,288.61,0.8,0.8,0.8
495983,5.42211e+006,303.38,0.8,0.8,0.8
496721,5.42195e+006,295.51,0.8,0.8,0.8
496036,5.42222e+006,307.56,0.8,0.8,0.8
497084,5.42193e+006,275.31,0.8,0.8,0.8
496127,5.42154e+006,301.34,0.8,0.8,0.8
496991,5.42156e+006,297.86,0.8,0.8,0.8
496819,5.42158e+006,291.79,0.8,0.8,0.8
496505,5.42168e+006,290.78,0.8,0.8,0.8
496985,5.42172e+006,282.27,0.8,0.8,0.8
496335,5.42231e+006,299.6,0.8,0.8,0.8
496709,5.42166e+006,288.31,0.8,0.8,0.8
496853,5.4216e+006,891.34,0.8,0.8,0.8
496718,5.42209e+006,288.58,0.8,0.8,0.8
496250,5.42233e+006,295.35,0.8,0.8,0.8
496163,5.42154e+006,300.16,0.8,0.8,0.8
497192,5.42146e+006,303.32,0.8,0.8,0.8
496311,5.422e+006,304.95,0.8,0.8,0.8
496646,5.42139e+006,273.15,0.8,0.8,0.8
496325,5.4214e+006,286.82,0.8,0.8,0.8
496855,5.42161e+006,288.89,0.8,0.8,0.8
496217,5.42152e+006,296.84,0.8,0.8,0.8
496163,5.42141e+006,292.52,0.8,0.8,0.8
496589,5.42195e+006,296.63,0.8,0.8,0.8
497115,5.42151e+006,297.91,0.8,0.8,0.8
496197,5.42163e+006,301.62,0.8,0.8,0.8
496306,5.42177e+006,306.33,0.8,0.8,0.8
496097,5.42208e+006,303.52,0.8,0.8,0.8
497081,5.42139e+006,296.45,0.8,0.8,0.8
496855,5.42162e+006,299.74,0.8,0.8,0.8
496301,5.42214e+006,298.41,0.8,0.8,0.8
496949,5.42145e+006,291.96,0.8,0.8,0.8
496401,5.4223e+006,299.08,0.8,0.8,0.8
496371,5.42205e+006,300.44,0.8,0.8,0.8
496861,5.42159e+006,875.49,0.8,0.8,0.8
497068,5.42145e+006,293.81,0.8,0.8,0.8
497059,5.42215e+006,284.48,0.8,0.8,0.8
496492,5.42173e+006,293.64,0.8,0.8,0.8
496284,5.42158e+006,298.06,0.8,0.8,0.8
496615,5.42213e+006,291.71,0.8,0.8,0.8
496918,5.42207e+006,282.12,0.8,0.8,0.8
496354,5.42202e+006,302.3,0.8,0.8,0.8
496983,5.42144e+006,291.69,0.8,0.8,0.8
497048,5.42193e+006,276.81,0.8,0.8,0.8
496269,5.42153e+006,295.45,0.8,0.8,0.8
495973,5.42227e+006,319.27,0.8,0.8,0.8
496925,5.42137e+006,301.51,0.8,0.8,0.8
496363,5.42155e+006,295.15,0.8,0.8,0.8
496357,5.42159e+006,297.94,0.8,0.8,0.8
496695,5.42144e+006,303.43,0.8,0.8,0.8
496714,5.42177e+006,290.15,0.8,0.8,0.8
496675,5.422e+006,296.08,0.8,0.8,0.8
496906,5.4217e+006,297.48,0.8,0.8,0.8
496388,5.42205e+006,300.17,0.8,0.8,0.8
496137,5.42213e+006,301.19,0.8,0.8,0.8
495950,5.4214e+006,272.32,0.8,0.8,0.8
496016,5.42175e+006,312.7,0.8,0.8,0.8
496750,5.42174e+006,290.34,0.8,0.8,0.8
496806,5.42224e+006,291.88,0.8,0.8,0.8
496630,5.42201e+006,296.87,0.8,0.8,0.8
496515,5.42173e+006,291.84,0.8,0.8,0.8
497131,5.42206e+006,277.22,0.8,0.8,0.8
496387,5.42195e+006,304.47,0.8,0.8,0.8
496893,5.42172e+006,298.29,0.8,0.8,0.8
497130,5.4217e+006,296.3,0.8,0.8,0.8
496440,5.4216e+006,295.67,0.8,0.8,0.8
496054,5.42224e+006,303.72,0.8,0.8,0.8
496426,5.42201e+006,300.89,0.8,0.8,0.8
497145,5.4221e+006,278.63,0.8,0.8,0.8
496631,5.42218e+006,293.57,0.8,0.8,0.8
496598,5.42139e+006,273.71,0.8,0.8,0.8
496880,5.42139e+006,291.59,0.8,0.8,0.8
496802,5.42145e+006,308.35,0.8,0.8,0.8
496670,5.42179e+006,295.26,0.8,0.8,0.8
497083,5.42161e+006,300.09,0.8,0.8,0.8
496636,5.42149e+006,273.32,0.8,0.8,0.8
496953,5.42219e+006,288.49,0.8,0.8,0.8
496066,5.42163e+006,307.03,0.8,0.8,0.8
497043,5.42164e+006,296.31,0.8,0.8,0.8
496612,5.42147e+006,280.13,0.8,0.8,0.8
496626,5.42157e+006,285.92,0.8,0.8,0.8
496363,5.42156e+006,295.72,0.8,0.8,0.8
496907,5.42217e+006,287.93,0.8,0.8,0.8
496901,5.42168e+006,297.51,0.8,0.8,0.8
496711,5.42202e+006,293.82,0.8,0.8,0.8
496891,5.42223e+006,290.55,0.8,0.8,0.8
496730,5.42208e+006,288.79,0.8,0.8,0.8
496108,5.42228e+006,310.54,0.8,0.8,0.8
496934,5.42174e+006,291.78,0.8,0.8,0.8
496877,5.42179e+006,290.62,0.8,0.8,0.8
496536,5.42145e+006,283.21,0.8,0.8,0.8
497048,5.42137e+006,286.9,0.8,0.8,0.8
496069,5.42204e+006,306.46,0.8,0.8,0.8
497000,5.42154e+006,293.74,0.8,0.8,0.8
496121,5.42149e+006,298.05,0.8,0.8,0.8
496544,5.42223e+006,296.05,0.8,0.8,0.8
495943,5.42155e+006,875.03,0.8,0.8,0.8
496864,5.42137e+006,285.29,0.8,0.8,0.8
496974,5.42169e+006,298.42,0.8,0.8,0.8
496144,5.4217e+006,306.19,0.8,0.8,0.8
496505,5.42178e+006,295.89,0.8,0.8,0.8
496245,5.42147e+006,293.82,0.8,0.8,0.8
497128,5.42198e+006,275.51,0.8,0.8,0.8
496015,5.42192e+006,315.14,0.8,0.8,0.8
496135,5.4214e+006,292.62,0.8,0.8,0.8
496597,5.42211e+006,291.94,0.8,0.8,0.8
496753,5.42149e+006,294.87,0.8,0.8,0.8
496678,5.42151e+006,275.41,0.8,0.8,0.8
496946,5.42157e+006,889.58,0.8,0.8,0.8
496487,5.42223e+006,302.98,0.8,0.8,0.8
496158,5.42215e+006,300.67,0.8,0.8,0.8
497063,5.42215e+006,284.55,0.8,0.8,0.8
496125,5.42218e+006,301.53,0.8,0.8,0.8
496545,5.42148e+006,285.34,0.8,0.8,0.8
496535,5.42172e+006,290.37,0.8,0.8,0.8
496715,5.42167e+006,299.64,0.8,0.8,0.8
496489,5.42219e+006,301.59,0.8,0.8,0.8
496992,5.42169e+006,293.5,0.8,0.8,0.8
496193,5.42197e+006,310.48,0.8,0.8,0.8
496783,5.42144e+006,311.72,0.8,0.8,0.8
497181,5.4216e+006,303.51,0.8,0.8,0.8
496961,5.42144e+006,292.25,0.8,0.8,0.8
496797,5.42151e+006,291.65,0.8,0.8,0.8
496359,5.42206e+006,300.52,0.8,0.8,0.8
496654,5.42226e+006,294.99,0.8,0.8,0.8
496568,5.42176e+006,292.65,0.8,0.8,0.8
496730,5.42137e+006,290.55,0.8,0.8,0.8
496627,5.42172e+006,290.27,0.8,0.8,0.8
496501,5.42179e+006,296.36,0.8,0.8,0.8
497168,5.42231e+006,287.27,0.8,0.8,0.8
496033,5.42159e+006,305.23,0.8,0.8,0.8
496074,5.42166e+006,307.44,0.8,0.8,0.8
496858,5.42211e+006,286.04,0.8,0.8,0.8
495987,5.42174e+006,312.45,0.8,0.8,0.8
496047,5.42143e+006,272.21,0.8,0.8,0.8
496949,5.42146e+006,292.13,0.8,0.8,0.8
496844,5.4214e+006,292.57,0.8,0.8,0.8
496996,5.42163e+006,301.25,0.8,0.8,0.8
496011,5.42223e+006,309.56,0.8,0.8,0.8
497108,5.42153e+006,297.17,0.8,0.8,0.8
496633,5.42142e+006,279.18,0.8,0.8,0.8
496398,5.42194e+006,304.39,0.8,0.8,0.8
496432,5.42169e+006,313.57,0.8,0.8,0.8
496079,5.42216e+006,302.14,0.8,0.8,0.8
497097,5.42193e+006,275.17,0.8,0.8,0.8
496949,5.42152e+006,293.52,0.8,0.8,0.8
496489,5.42201e+006,301.18,0.8,0.8,0.8
496001,5.42158e+006,305.49,0.8,0.8,0.8
495988,5.42149e+006,299.97,0.8,0.8,0.8
496849,5.42228e+006,292.64,0.8,0.8,0.8
497166,5.42209e+006,277.39,0.8,0.8,0.8
496606,5.42218e+006,294.15,0.8,0.8,0.8
496607,5.42166e+006,283.8,0.8,0.8,0.8
496915,5.42145e+006,315.25,0.8,0.8,0.8
496849,5.42152e+006,302.41,0.8,0.8,0.8
495992,5.42208e+006,305.11,0.8,0.8,0.8
496078,5.4214e+006,279.66,0.8,0.8,0.8
497047,5.42161e+006,874.15,0.8,0.8,0.8
496465,5.42198e+006,301.13,0.8,0.8,0.8
496749,5.42199e+006,293.22,0.8,0.8,0.8
496572,5.42167e+006,286.22,0.8,0.8,0.8
496832,5.42197e+006,287.41,0.8,0.8,0.8
495997,5.42218e+006,302.67,0.8,0.8,0.8
496135,5.42144e+006,295.1,0.8,0.8,0.8
496061,5.42135e+006,273.94,0.8,0.8,0.8
496773,5.4217e+006,289.37,0.8,0.8,0.8
496001,5.42148e+006,299.5,0.8,0.8,0.8
496284,5.42233e+006,295.96,0.8,0.8,0.8
496636,5.42138e+006,272.11,0.8,0.8,0.8
496548,5.42161e+006,289.53,0.8,0.8,0.8
496045,5.42149e+006,298.65,0.8,0.8,0.8
495969,5.42167e+006,309.92,0.8,0.8,0.8
496368,5.42212e+006,298.77,0.8,0.8,0.8
496122,5.42221e+006,303.46,0.8,0.8,0.8
496601,5.42172e+006,289.45,0.8,0.8,0.8
496788,5.4217e+006,289.72,0.8,0.8,0.8
496102,5.42207e+006,304.46,0.8,0.8,0.8
496136,5.42208e+006,303.01,0.8,0.8,0.8
496259,5.42217e+006,300.71,0.8,0.8,0.8
496415,5.42194e+006,303.76,0.8,0.8,0.8
497048,5.42148e+006,293.56,0.8,0.8,0.8
496918,5.4218e+006,285.27,0.8,0.8,0.8
496985,5.42147e+006,292.92,0.8,0.8,0.8
496275,5.42216e+006,300.69,0.8,0.8,0.8
496736,5.42202e+006,292.39,0.8,0.8,0.8
496885,5.42151e+006,304.81,0.8,0.8,0.8
496069,5.42224e+006,303.52,0.8,0.8,0.8
