x,y,z,r,g,b
1155.94,4380.71,-5.37109,0.8,0.8,0.8
4722.75,6991.02,-28.0151,0.8,0.8,0.8
2231.13,2913.19,17.2119,0.8,0.8,0.8
5031.78,7716.72,-90.3015,0.8,0.8,0.8
6582.59,7329.08,-64.209,0.8,0.8,0.8
931.571,2935.75,-32.5928,0.8,0.8,0.8
6393.12,2977.31,-33.2642,0.8,0.8,0.8
3126.7,5300.41,173.218,0.8,0.8,0.8
5044.25,6453.18,818.512,0.8,0.8,0.8
7121.64,5245.14,-62.4084,0.8,0.8,0.8
6091.79,4559.37,-62.0422,0.8,0.8,0.8
3200.65,6886.76,-63.5986,0.8,0.8,0.8
5092.59,3079.93,6.92749,0.8,0.8,0.8
4383.69,3612.13,245.422,0.8,0.8,0.8
5673.91,5860.3,7.53784,0.8,0.8,0.8
2535.51,2830.82,31.2195,0.8,0.8,0.8
4909.92,5200.03,12.8479,0.8,0.8,0.8
1490.22,2279.36,49.8352,0.8,0.8,0.8
2145.83,350.239,-46.1731,0.8,0.8,0.8
1564.12,5969.66,-66.3147,0.8,0.8,0.8
6854.06,3691.98,-11.9019,0.8,0.8,0.8
1761.56,3022.58,1183.04,0.8,0.8,0.8
3229.07,2419.19,19.4092,0.8,0.8,0.8
1328.57,3119.02,470.337,0.8,0.8,0.8
4440.82,6712.9,-31.9519,0.8,0.8,0.8
3546.64,2673.13,27.2217,0.8,0.8,0.8
3824.53,6632.49,-38.9099,0.8,0.8,0.8
3083.65,7018.58,-66.3147,0.8,0.8,0.8
1547.08,5622.48,-39.1846,0.8,0.8,0.8
6805.33,659.735,2082.03,0.8,0.8,0.8
4171.99,5668.44,572.601,0.8,0.8,0.8
5972.47,1372.96,-58.1665,0.8,0.8,0.8
4244.08,3633.87,244.049,0.8,0.8,0.8
871.097,2642.52,330.017,0.8,0.8,0.8
1199.1,1893.74,50.415,0.8,0.8,0.8
5323.43,6265.6,1512.54,0.8,0.8,0.8
2085.2,7416.34,-59.4177,0.8,0.8,0.8
1053.42,2693.4,744.934,0.8,0.8,0.8
4011.76,2737.74,30.9753,0.8,0.8,0.8
496.355,2696.52,-34.6069,0.8,0.8,0.8
1993.44,5859.33,-30.9753,0.8,0.8,0.8
6186.48,6496.02,-2.0752,0.8,0.8,0.8
2664.66,2018.13,161.469,0.8,0.8,0.8
4869.84,7213.4,-51.2085,0.8,0.8,0.8
828.874,4730.24,-26.886,0.8,0.8,0.8
3371.17,7277.53,-89.2334,0.8,0.8,0.8
7079.29,3081.03,-62.5916,0.8,0.8,0.8
666.968,1761.53,-59.1736,0.8,0.8,0.8
5552.15,3823.75,-34.0271,0.8,0.8,0.8
946.313,1957.89,190.948,0.8,0.8,0.8
1405.45,1093.9,-8.39233,0.8,0.8,0.8
570.973,6827.23,-42.2363,0.8,0.8,0.8
2298.59,2417.57,42.6636,0.8,0.8,0.8
6755.5,165.089,-129.425,0.8,0.8,0.8
2326.34,4027.42,411.53,0.8,0.8,0.8
2443.45,7182.05,-81.9397,0.8,0.8,0.8
5028.59,7127.88,-47.7905,0.8,0.8,0.8
2514,3805.12,1265.11,0.8,0.8,0.8
3544.26,3843.53,1252.08,0.8,0.8,0.8
884.892,6726.93,-62.0728,0.8,0.8,0.8
4532.31,3379.65,20.8435,0.8,0.8,0.8
3615.81,3408.22,31.7383,0.8,0.8,0.8
1711.59,1870.83,-21.9727,0.8,0.8,0.8
2321.48,3183.15,188.446,0.8,0.8,0.8
3732.36,2208.84,-3.02124,0.8,0.8,0.8
6830.55,6719.2,29.7241,0.8,0.8,0.8
747.234,4710.57,-26.001,0.8,0.8,0.8
4806.88,7566.67,-57.9834,0.8,0.8,0.8
54.8049,2746.98,-28.7781,0.8,0.8,0.8
2596.64,3793.49,1409.67,0.8,0.8,0.8
4153.27,3045.53,53.1616,0.8,0.8,0.8
1962.2,2840.81,156.494,0.8,0.8,0.8
2536.61,1152.4,188.08,0.8,0.8,0.8
1687.18,2465.9,79.6204,0.8,0.8,0.8
6443.81,6713.17,-57.7087,0.8,0.8,0.8
2625.7,601.456,-28.4729,0.8,0.8,0.8
1013.65,1093.03,643.066,0.8,0.8,0.8
6667.45,1865.53,-88.8672,0.8,0.8,0.8
3741.86,659.746,22.0947,0.8,0.8,0.8
3396.13,3603.03,433.533,0.8,0.8,0.8
5495.74,4971.64,-12.6343,0.8,0.8,0.8
5295.1,7540.13,-81.2988,0.8,0.8,0.8
459.078,6391.78,-14.2517,0.8,0.8,0.8
4624.22,2830.34,16.571,0.8,0.8,0.8
2108.96,7236.68,-69.4275,0.8,0.8,0.8
4233.21,5942.87,738.647,0.8,0.8,0.8
6878.56,727.246,715.485,0.8,0.8,0.8
3103.06,151.372,-98.2666,0.8,0.8,0.8
6927.27,778.854,298.706,0.8,0.8,0.8
3909.11,5547.1,192.017,0.8,0.8,0.8
5076.11,7126.2,-37.8113,0.8,0.8,0.8
5475.37,3342.97,-27.1606,0.8,0.8,0.8
3652.45,4335.61,550.232,0.8,0.8,0.8
3024.69,3656.96,1137.66,0.8,0.8,0.8
4587.24,4063.05,632.935,0.8,0.8,0.8
2679.37,3353.66,480.957,0.8,0.8,0.8
5217.58,2199.4,-44.0369,0.8,0.8,0.8
7022.94,771.078,105.988,0.8,0.8,0.8
1102.99,6384.01,-34.3018,0.8,0.8,0.8
1079.6,1925.83,176.91,0.8,0.8,0.8
4430.15,4619.63,49.4995,0.8,0.8,0.8
3766.45,3182.78,34.9426,0.8,0.8,0.8
149.565,2642.39,-31.311,0.8,0.8,0.8
1445.59,2405.41,606.415,0.8,0.8,0.8
3293.59,7300.2,-72.8455,0.8,0.8,0.8
4675.65,3685.91,189.606,0.8,0.8,0.8
6152.23,6971.17,-58.7463,0.8,0.8,0.8
2726.27,6277.79,-24.6277,0.8,0.8,0.8
1333.49,655.836,-9.27734,0.8,0.8,0.8
5078.56,7292.25,-59.8145,0.8,0.8,0.8
1521.02,4455.28,23.1018,0.8,0.8,0.8
5527.95,6609.15,848.145,0.8,0.8,0.8
6883.24,2088.84,-73.9746,0.8,0.8,0.8
1275.23,3274.52,-20.9045,0.8,0.8,0.8
