x,y,z,r,g,b
51.8732,82.4309,-0.8689,0.8,0.8,0.8
49.9614,77.3973,-0.2302,0.8,0.8,0.8
52.8826,76.7494,-1.2924,0.8,0.8,0.8
45.649,74.0735,2.2029,0.8,0.8,0.8
52.3538,75.267,4.7215,0.8,0.8,0.8
46.8728,73.8528,8.7313,0.8,0.8,0.8
48.4594,70.9971,8.7213,0.8,0.8,0.8
55.2574,79.5808,3.8327,0.8,0.8,0.8
47.4096,73.3558,8.2882,0.8,0.8,0.8
48.7327,74.0785,-0.8033,0.8,0.8,0.8
46.6515,70.9608,0.108,0.8,0.8,0.8
52.6413,79.9044,-0.9222,0.8,0.8,0.8
52.3597,74.872,2.4112,0.8,0.8,0.8
56.2746,75.7393,-1.2916,0.8,0.8,0.8
46.5118,71.3221,3.4719,0.8,0.8,0.8
50.279,88.5277,2.4953,0.8,0.8,0.8
45.2622,75.1914,0.3675,0.8,0.8,0.8
45.2786,73.245,7.9335,0.8,0.8,0.8
58.653,76.7777,2.9105,0.8,0.8,0.8
50.5923,75.5488,-1.296,0.8,0.8,0.8
46.2728,71.5436,-0.2098,0.8,0.8,0.8
47.9436,75.7178,3.5619,0.8,0.8,0.8
45.7584,73.698,0.8849,0.8,0.8,0.8
55.8898,81.6659,3.6486,0.8,0.8,0.8
56.6875,72.2661,4.4597,0.8,0.8,0.8
52.9874,73.6928,-1.3029,0.8,0.8,0.8
50.2002,88.5064,1.0592,0.8,0.8,0.8
52.5879,77.7965,4.1293,0.8,0.8,0.8
50.5062,72.2648,8.7152,0.8,0.8,0.8
59.3778,75.3439,3.0602,0.8,0.8,0.8
58.887,76.942,-0.2196,0.8,0.8,0.8
50.6795,86.3451,-1.1533,0.8,0.8,0.8
53.2513,73.5646,8.0841,0.8,0.8,0.8
56.3534,78.3606,-0.5668,0.8,0.8,0.8
55.8006,82.6344,0.5455,0.8,0.8,0.8
54.131,73.5887,-0.8892,0.8,0.8,0.8
47.8732,70.6534,-0.5001,0.8,0.8,0.8
52.603,82.3257,-1.291,0.8,0.8,0.8
47.7653,76.2944,-1.3074,0.8,0.8,0.8
46.4297,72.8378,1.9306,0.8,0.8,0.8
53.9192,74.7127,4.2004,0.8,0.8,0.8
46.0154,72.3486,-1.1946,0.8,0.8,0.8
52.5086,73.4002,-1.303,0.8,0.8,0.8
54.7965,82.2866,0.9953,0.8,0.8,0.8
48.0708,70.1626,4.5292,0.8,0.8,0.8
45.1225,76.8636,8.7314,0.8,0.8,0.8
57.604,74.7766,-1.3006,0.8,0.8,0.8
49.6765,75.7686,5.5325,0.8,0.8,0.8
47.9799,75.3928,-1.2942,0.8,0.8,0.8
52.1754,78.0619,-0.9166,0.8,0.8,0.8
58.4783,74.7697,-0.6382,0.8,0.8,0.8
46.9541,69.9816,6.5606,0.8,0.8,0.8
52.264,74.9937,7.6342,0.8,0.8,0.8
50.1232,88.4824,-0.3628,0.8,0.8,0.8
52.3603,71.4678,5.276,0.8,0.8,0.8
47.5899,70.0179,3.9802,0.8,0.8,0.8
59.6194,73.7784,2.4828,0.8,0.8,0.8
49.5757,71.3162,8.7188,0.8,0.8,0.8
51.817,76.1501,7.3054,0.8,0.8,0.8
49.0254,70.3733,0.8734,0.8,0.8,0.8
50.0897,75.3876,-1.2936,0.8,0.8,0.8
59.4935,74.9398,0.4864,0.8,0.8,0.8
50.4998,86.9108,2.4322,0.8,0.8,0.8
59.0839,76.3165,2.8093,0.8,0.8,0.8
48.6032,75.4456,0.3152,0.8,0.8,0.8
46.0645,76.2195,-1.0718,0.8,0.8,0.8
51.4515,77.8364,4.5051,0.8,0.8,0.8
45.0815,75.7543,0.269,0.8,0.8,0.8
45.6142,77.4586,8.722,0.8,0.8,0.8
56.8951,74.9035,4.1238,0.8,0.8,0.8
51.5803,72.1774,-0.541,0.8,0.8,0.8
49.6042,73.7295,4.8487,0.8,0.8,0.8
58.6891,73.3759,1.9334,0.8,0.8,0.8
52.7961,80.0006,-1.288,0.8,0.8,0.8
54.5309,82.192,2.208,0.8,0.8,0.8
45.6412,74.0863,1.7644,0.8,0.8,0.8
54.5338,79.0716,3.857,0.8,0.8,0.8
53.9002,82.6386,3.7131,0.8,0.8,0.8
51.3518,77.7874,-0.1514,0.8,0.8,0.8
55.6466,78.9951,3.8917,0.8,0.8,0.8
52.0841,75.0342,2.4292,0.8,0.8,0.8
46.3409,72.2411,1.3151,0.8,0.8,0.8
46.9068,74.9133,3.2655,0.8,0.8,0.8
51.8931,75.8768,7.4611,0.8,0.8,0.8
50.3672,75.9886,1.2091,0.8,0.8,0.8
54.21,72.6042,8.7345,0.8,0.8,0.8
50.17,74.0051,-1.3002,0.8,0.8,0.8
57.7829,79.7723,3.8346,0.8,0.8,0.8
52.4047,74.7239,-1.0762,0.8,0.8,0.8
49.8649,77.376,3.3472,0.8,0.8,0.8
45.5363,74.3903,6.1646,0.8,0.8,0.8
55.306,75.4645,4.1227,0.8,0.8,0.8
58.4741,78.3078,1.9153,0.8,0.8,0.8
46.2946,72.1992,1.2621,0.8,0.8,0.8
54.7745,74.7335,-1.3006,0.8,0.8,0.8
50.4118,87.1984,0.5251,0.8,0.8,0.8
52.1745,76.3818,4.9904,0.8,0.8,0.8
45.91,76.1767,2.2542,0.8,0.8,0.8
58.0241,79.8331,2.9454,0.8,0.8,0.8
52.0669,75.0186,7.6896,0.8,0.8,0.8
49.3196,77.2749,4.6705,0.8,0.8,0.8
45.7071,74.4912,5.6734,0.8,0.8,0.8
45.2631,75.2284,6.318,0.8,0.8,0.8
52.1344,70.897,0.5394,0.8,0.8,0.8
57.6539,81.0216,1.5729,0.8,0.8,0.8
50.7991,77.6563,1.645,0.8,0.8,0.8
53.5064,79.7043,3.7774,0.8,0.8,0.8
47.65,70.0311,-0.4979,0.8,0.8,0.8
