x,y,z,r,g,b,nx,ny,nz
494570,5.42094e+006,354.64,0.8,0.8,0.8,-0.0259413,0.037214,-0.998971
493890,5.42086e+006,360.16,0.8,0.8,0.8,-0.0288618,0.179687,-0.9833
494565,5.42066e+006,331.97,0.8,0.8,0.8,-0.163763,0.173993,-0.971034
494182,5.42008e+006,283.1,0.8,0.8,0.8,0.00363653,0.0665187,0.997779
494371,5.42003e+006,288.41,0.8,0.8,0.8,-0.258879,-0.0483166,0.964701
494274,5.42001e+006,288.8,0.8,0.8,0.8,-0.0505258,0.0465316,0.997638
494586,5.42071e+006,329.75,0.8,0.8,0.8,-0.250964,-0.0841866,-0.964329
493818,5.42047e+006,264.5,0.8,0.8,0.8,-0.00425977,0.0471334,-0.99888
495149,5.42064e+006,314.82,0.8,0.8,0.8,-0.00724747,0.0869757,-0.996184
493816,5.42021e+006,272.42,0.8,0.8,0.8,0.332434,0.498633,0.800533
494775,5.42048e+006,280.16,0.8,0.8,0.8,-0.0232927,0.00697348,-0.999704
495238,5.41993e+006,327.27,0.8,0.8,0.8,0.133666,0.221404,0.965978
493695,5.42013e+006,268.73,0.8,0.8,0.8,0.0448997,-0.162728,0.985649
494509,5.4199e+006,305.55,0.8,0.8,0.8,-0.0223106,0.151013,0.98828
495040,5.41986e+006,320.5,0.8,0.8,0.8,0.62293,0.276466,0.731796
493746,5.42095e+006,374.87,0.8,0.8,0.8,0.508311,0.350811,-0.78648
493995,5.4198e+006,266.1,0.8,0.8,0.8,0.363751,0.725578,-0.584142
494894,5.42061e+006,263.79,0.8,0.8,0.8,0.119864,-0.0473975,-0.991658
494708,5.41985e+006,337.32,0.8,0.8,0.8,0.0802202,0.32923,0.940836
494630,5.42032e+006,258.98,0.8,0.8,0.8,0.233133,0.558009,-0.796414
493817,5.42051e+006,268.73,0.8,0.8,0.8,0.196516,0.500176,-0.84333
494314,5.41996e+006,292.79,0.8,0.8,0.8,-0.0356927,0.0466943,0.998271
494447,5.4209e+006,361.28,0.8,0.8,0.8,-0.0910679,-0.765162,-0.637364
494244,5.42087e+006,348.48,0.8,0.8,0.8,-0.00714595,0.374122,-0.927352
494413,5.42002e+006,291.49,0.8,0.8,0.8,0.299997,0.879855,0.368588
493651,5.42092e+006,384.71,0.8,0.8,0.8,0.812542,-0.184163,-0.553045
493732,5.42e+006,266.52,0.8,0.8,0.8,0.0914579,-0.119641,0.988596
494423,5.41985e+006,306.01,0.8,0.8,0.8,-0.0906501,0.147122,0.984956
495000,5.42089e+006,336.75,0.8,0.8,0.8,-0.055594,0.00718976,-0.998428
494997,5.42046e+006,289.98,0.8,0.8,0.8,-0.0620287,0.101901,-0.992859
493805,5.42095e+006,373.34,0.8,0.8,0.8,-0.208697,0.0582389,-0.976245
494098,5.42023e+006,267.17,0.8,0.8,0.8,-0.595453,0.78715,-0.160717
494165,5.42059e+006,272.73,0.8,0.8,0.8,0.695939,0.387128,-0.604815
494131,5.42059e+006,253.3,0.8,0.8,0.8,-0.0430088,0.137855,-0.989518
495139,5.42087e+006,327.46,0.8,0.8,0.8,-0.0552731,0.0105754,-0.998415
495091,5.41996e+006,288.61,0.8,0.8,0.8,-0.080354,0.719614,0.689709
494161,5.42061e+006,256.71,0.8,0.8,0.8,-0.00467381,-0.0779702,-0.996945
494252,5.4202e+006,265.97,0.8,0.8,0.8,0.0560563,0.0942843,0.993966
494246,5.42085e+006,341.75,0.8,0.8,0.8,0.0517933,0.370751,-0.927287
494896,5.41986e+006,299.15,0.8,0.8,0.8,-0.462805,0.738149,0.490865
495102,5.42099e+006,326.92,0.8,0.8,0.8,-0.080548,-0.0560805,-0.995172
494897,5.42086e+006,341.3,0.8,0.8,0.8,-0.0445403,0.0442117,-0.998029
494000,5.42031e+006,257.24,0.8,0.8,0.8,0.32564,-0.166404,-0.930735
494670,5.42014e+006,252.38,0.8,0.8,0.8,0.00649926,0.0368524,0.9993
494498,5.42055e+006,253.63,0.8,0.8,0.8,0.681916,-0.00576215,-0.731408
495122,5.41989e+006,316.52,0.8,0.8,0.8,0.460156,0.205134,0.863815
494924,5.41988e+006,289.82,0.8,0.8,0.8,0.0491638,0.475455,0.878365
493728,5.42033e+006,279.88,0.8,0.8,0.8,-0.0942721,-0.784142,-0.613379
494456,5.42096e+006,359.93,0.8,0.8,0.8,0.0564831,0.0353525,-0.997777
494705,5.42072e+006,311.28,0.8,0.8,0.8,-0.318165,0.380321,-0.868405
493749,5.42016e+006,273.05,0.8,0.8,0.8,0.221718,0.495704,0.839714
494102,5.421e+006,367.77,0.8,0.8,0.8,-0.0155438,0.0515511,-0.998549
495169,5.42046e+006,288.64,0.8,0.8,0.8,0.00430803,0.0742084,-0.997233
494729,5.41999e+006,255.69,0.8,0.8,0.8,0.0310851,0.0478563,0.99837
493917,5.42002e+006,255.43,0.8,0.8,0.8,0.121408,-0.145556,0.981872
493947,5.42002e+006,252.45,0.8,0.8,0.8,0.226784,0.0112624,0.97388
493769,5.42035e+006,275.46,0.8,0.8,0.8,-0.176873,0.249233,-0.952155
494679,5.42095e+006,351.98,0.8,0.8,0.8,-0.0350636,0.0250076,-0.999072
494718,5.42002e+006,254.42,0.8,0.8,0.8,0.0526188,0.0376306,0.997905
494859,5.42045e+006,294.51,0.8,0.8,0.8,0.239427,0.0296039,-0.970463
494044,5.42074e+006,288.12,0.8,0.8,0.8,-0.134081,0.438098,-0.888871
494951,5.41995e+006,282.82,0.8,0.8,0.8,0.244846,0.306901,0.919708
495043,5.42057e+006,304.98,0.8,0.8,0.8,-0.0189858,0.233173,-0.97225
494444,5.42036e+006,253.24,0.8,0.8,0.8,-0.00983594,-0.0107016,-0.999894
494631,5.4201e+006,254.38,0.8,0.8,0.8,0.0401865,0.028937,0.998773
494250,5.42063e+006,259.73,0.8,0.8,0.8,-0.52552,-0.262722,-0.809201
493891,5.41994e+006,258.28,0.8,0.8,0.8,0.572557,-0.735207,0.362836
494732,5.41997e+006,273.86,0.8,0.8,0.8,0.0464447,0.888839,0.455859
494720,5.42063e+006,279.17,0.8,0.8,0.8,-0.377801,0.241606,-0.893808
494329,5.4207e+006,260.71,0.8,0.8,0.8,0.0902467,0.35169,-0.931756
494479,5.42008e+006,262.63,0.8,0.8,0.8,0.0524824,0.0336208,0.998056
494622,5.41997e+006,292.53,0.8,0.8,0.8,-0.17957,0.590682,0.78667
494495,5.42008e+006,262.35,0.8,0.8,0.8,0.0445234,0.0464039,0.99793
495118,5.42037e+006,281.12,0.8,0.8,0.8,-0.0161344,0.103308,-0.994519
494180,5.42052e+006,273.84,0.8,0.8,0.8,-0.441049,0.896049,-0.0507205
494745,5.42003e+006,252.94,0.8,0.8,0.8,0.026849,0.0461363,0.998574
494942,5.41986e+006,297.61,0.8,0.8,0.8,0.157835,0.0312781,0.98697
495163,5.42039e+006,282.38,0.8,0.8,0.8,-0.0323324,0.106998,-0.993733
494660,5.42059e+006,294.28,0.8,0.8,0.8,0.0764267,-0.099129,-0.992135
