x,y,z,r,g,b,nx,ny,nz
497196,5.4217e+006,303.37,0.8,0.8,0.8,-0.321563,-0.300745,-0.897859
496722,5.42173e+006,290.73,0.8,0.8,0.8,0.0282429,-0.0692638,-0.997199
497617,5.42122e+006,310.37,0.8,0.8,0.8,0.00507515,0.294794,0.955548
496741,5.42113e+006,295.94,0.8,0.8,0.8,0.174769,0.216219,0.960576
496766,5.42136e+006,274.8,0.8,0.8,0.8,0.294435,0.421551,-0.857673
497087,5.42138e+006,295.18,0.8,0.8,0.8,0.0676614,0.0847467,-0.994103
496865,5.42146e+006,309.79,0.8,0.8,0.8,-0.316342,0.0721003,-0.945901
496918,5.42141e+006,302.06,0.8,0.8,0.8,-0.388624,-0.745075,-0.542065
496646,5.42141e+006,271.95,0.8,0.8,0.8,0.171425,0.252488,-0.952294
497225,5.42095e+006,301.99,0.8,0.8,0.8,-0.0191002,0.022189,0.999571
496865,5.42143e+006,293.49,0.8,0.8,0.8,-0.120658,-0.332642,-0.935303
496918,5.42137e+006,298.06,0.8,0.8,0.8,0.322025,-0.0277396,-0.946325
497111,5.42127e+006,285.81,0.8,0.8,0.8,-0.0281035,0.0371856,0.998913
497492,5.42168e+006,307.32,0.8,0.8,0.8,0.0259075,-0.0392579,-0.998893
497770,5.42168e+006,311.14,0.8,0.8,0.8,0.00802557,-0.0253351,-0.999647
496780,5.42149e+006,290.85,0.8,0.8,0.8,0.0432952,-0.402333,-0.914469
496855,5.42139e+006,308.5,0.8,0.8,0.8,0.665731,-0.195763,-0.720055
497768,5.42174e+006,309.65,0.8,0.8,0.8,0.448385,0.597851,-0.664473
496798,5.42159e+006,283.82,0.8,0.8,0.8,0.137587,-0.32239,-0.936554
496952,5.42141e+006,294.55,0.8,0.8,0.8,-0.383772,-0.149987,-0.911166
496661,5.42156e+006,275.9,0.8,0.8,0.8,0.046085,0.0552408,-0.997409
497404,5.42139e+006,296.35,0.8,0.8,0.8,0.0256726,0.138675,-0.990005
497770,5.42142e+006,299.56,0.8,0.8,0.8,-0.00321788,0.0795109,-0.996829
496649,5.42125e+006,286.78,0.8,0.8,0.8,0.0064589,0.104036,0.994553
497376,5.42137e+006,293.44,0.8,0.8,0.8,0.0284529,0.102615,-0.994314
497330,5.42127e+006,297.71,0.8,0.8,0.8,0.290395,0.331452,0.897669
496518,5.42148e+006,294.66,0.8,0.8,0.8,-0.428058,-0.386885,-0.816754
497483,5.42111e+006,311.64,0.8,0.8,0.8,0.220019,0.441489,0.869873
496883,5.421e+006,308,0.8,0.8,0.8,0.490789,-0.112165,0.864028
497942,5.42125e+006,317.18,0.8,0.8,0.8,-0.0159808,0.0646903,0.997777
497224,5.42101e+006,300.62,0.8,0.8,0.8,0.77643,-0.121044,0.618469
496483,5.42087e+006,335,0.8,0.8,0.8,-0.0339867,0.909854,-0.413534
496872,5.42101e+006,315.03,0.8,0.8,0.8,-0.00862207,0.0129416,0.999879
497950,5.42162e+006,310.5,0.8,0.8,0.8,-0.0135339,0.0327416,-0.999372
497010,5.42104e+006,308.58,0.8,0.8,0.8,0.0152391,0.0139906,0.999786
497053,5.4218e+006,281.72,0.8,0.8,0.8,-0.0423069,0.00620886,-0.999085
496812,5.42146e+006,288.56,0.8,0.8,0.8,-0.814097,0.159217,-0.558477
497198,5.42162e+006,312.5,0.8,0.8,0.8,-0.646493,0.434788,-0.626902
497097,5.42171e+006,302,0.8,0.8,0.8,0.659948,-0.30507,-0.686586
497257,5.42171e+006,300.62,0.8,0.8,0.8,0.260729,0.315765,-0.912312
497817,5.42171e+006,310.52,0.8,0.8,0.8,0.00843709,-0.0374727,-0.999262
496697,5.42088e+006,316.88,0.8,0.8,0.8,0.646238,0.30029,0.701571
496918,5.4216e+006,293.83,0.8,0.8,0.8,0.0134746,-0.00460948,-0.999899
496583,5.42159e+006,286.68,0.8,0.8,0.8,-0.164667,0.13319,-0.977315
497779,5.4209e+006,327.51,0.8,0.8,0.8,-0.128077,0.00231992,0.991761
496906,5.42147e+006,312.64,0.8,0.8,0.8,-0.00991078,-0.5774,-0.816401
496895,5.42084e+006,309.04,0.8,0.8,0.8,-0.000358253,0.0601076,0.998192
497932,5.42156e+006,306.86,0.8,0.8,0.8,-0.0270371,0.0693915,-0.997223
497631,5.42161e+006,311.48,0.8,0.8,0.8,0.0114077,-0.0126142,-0.999855
496738,5.42146e+006,294.52,0.8,0.8,0.8,0.713133,0.680301,-0.16921
496824,5.4209e+006,312.89,0.8,0.8,0.8,-0.0716102,0.548467,0.8331
497688,5.42126e+006,307.31,0.8,0.8,0.8,-0.0473565,0.105964,0.993242
496838,5.42078e+006,311.96,0.8,0.8,0.8,-0.0805022,0.0673172,-0.994479
497057,5.42172e+006,291.13,0.8,0.8,0.8,0.0256551,0.0626054,-0.997709
497270,5.42078e+006,321.83,0.8,0.8,0.8,-0.72169,0.0379576,-0.691175
496513,5.42149e+006,287.59,0.8,0.8,0.8,-0.0151501,-0.275635,-0.961143
496819,5.42159e+006,873.92,0.8,0.8,0.8,-0.420809,-0.348829,0.8374
496801,5.42078e+006,313.3,0.8,0.8,0.8,0.775502,0.325724,-0.540834
497242,5.42162e+006,304.55,0.8,0.8,0.8,0.208603,-0.230919,-0.950348
496375,5.42104e+006,900.8,0.8,0.8,0.8,0.574634,-0.81118,-0.108549
496414,5.42112e+006,294.15,0.8,0.8,0.8,-0.0120159,0.0965058,0.99526
496622,5.42125e+006,287.24,0.8,0.8,0.8,-0.000214038,0.1091,0.994031
496609,5.42152e+006,279.84,0.8,0.8,0.8,-0.319049,0.156658,-0.934701
496964,5.42127e+006,285.82,0.8,0.8,0.8,0.00366968,0.0879033,0.996122
497715,5.42123e+006,317.02,0.8,0.8,0.8,0.385574,0.125725,0.914071
497244,5.42096e+006,314.31,0.8,0.8,0.8,-0.111819,-0.0571865,0.992082
496511,5.42166e+006,290.26,0.8,0.8,0.8,-0.0738544,-0.00711126,-0.997244
497929,5.42162e+006,310.78,0.8,0.8,0.8,-0.012686,0.0270669,-0.999553
496937,5.42095e+006,303.55,0.8,0.8,0.8,0.00296517,0.00676183,0.999973
497597,5.42109e+006,317.1,0.8,0.8,0.8,-0.155045,0.222152,0.962606
497209,5.42124e+006,290.7,0.8,0.8,0.8,-0.039945,0.0608902,0.997345
496436,5.42177e+006,300.04,0.8,0.8,0.8,-0.0599112,0.055366,-0.996667
496837,5.42129e+006,280.95,0.8,0.8,0.8,-0.0559217,0.28399,0.957195
496650,5.42108e+006,896.88,0.8,0.8,0.8,-0.321966,-0.0323423,-0.946199
497455,5.42105e+006,315.82,0.8,0.8,0.8,-0.0477062,0.0264389,0.998511
497841,5.42126e+006,313.49,0.8,0.8,0.8,-0.0364113,0.0874177,0.995506
497107,5.42102e+006,299.64,0.8,0.8,0.8,-0.0680545,0.099798,0.992678
496861,5.42095e+006,313.6,0.8,0.8,0.8,0.8432,0.280677,0.458514
497032,5.42083e+006,307.78,0.8,0.8,0.8,0.00556259,0.0402668,0.999174
496761,5.42078e+006,314.95,0.8,0.8,0.8,0.201312,0.248944,-0.947365
497482,5.42164e+006,309.28,0.8,0.8,0.8,0.0166383,-0.0495183,-0.998635
496783,5.42156e+006,286.2,0.8,0.8,0.8,0.156952,0.479617,-0.863327
497402,5.4214e+006,297.78,0.8,0.8,0.8,0.0297701,0.150442,-0.98817
496472,5.42124e+006,288.43,0.8,0.8,0.8,0.888578,0.175811,0.423698
496956,5.42075e+006,320.82,0.8,0.8,0.8,-0.0840013,-0.680558,-0.727863
496383,5.42163e+006,298.4,0.8,0.8,0.8,-0.0393888,0.0267785,-0.998865
497222,5.42163e+006,306.11,0.8,0.8,0.8,0.0591393,0.085435,-0.994587
497380,5.42178e+006,297.72,0.8,0.8,0.8,0.0314723,-0.0609364,-0.997645
497324,5.42093e+006,311.44,0.8,0.8,0.8,-0.364715,0.0378234,0.930351
496800,5.42146e+006,303.44,0.8,0.8,0.8,0.21154,-0.0489577,-0.976142
496385,5.42092e+006,306.12,0.8,0.8,0.8,0.132996,-0.0553145,0.989572
496690,5.42113e+006,301.02,0.8,0.8,0.8,-0.340302,0.00962043,0.940267
497038,5.4218e+006,280.96,0.8,0.8,0.8,0.117077,0.0167416,-0.992982
497163,5.42101e+006,298.4,0.8,0.8,0.8,0.0929465,-0.0474947,0.994538
497263,5.42166e+006,302.85,0.8,0.8,0.8,0.027619,-0.0623605,-0.997671
497129,5.42101e+006,299.35,0.8,0.8,0.8,0.0260454,-0.0870268,0.995865
497244,5.42144e+006,300.94,0.8,0.8,0.8,-0.246662,-0.196907,-0.948886
496693,5.4209e+006,306.34,0.8,0.8,0.8,0.512175,0.387446,0.766526
496689,5.4209e+006,303.03,0.8,0.8,0.8,0.17478,0.352066,0.919512
496531,5.42099e+006,302.3,0.8,0.8,0.8,-0.0507488,0.0215962,0.998478
497726,5.42123e+006,312.54,0.8,0.8,0.8,0.0175029,0.0115876,0.99978
497377,5.42098e+006,324.53,0.8,0.8,0.8,0.0437876,0.565002,0.823927
496563,5.42093e+006,303.63,0.8,0.8,0.8,-0.000561112,0.00494694,0.999988
497059,5.42171e+006,313.08,0.8,0.8,0.8,-0.387544,-0.921145,0.0360827
497472,5.42177e+006,303.69,0.8,0.8,0.8,0.342944,-0.651037,-0.677156
496658,5.42112e+006,298.4,0.8,0.8,0.8,-0.00762013,0.149654,0.988709
497180,5.42167e+006,301.08,0.8,0.8,0.8,0.229547,-0.15577,-0.960752
496352,5.42156e+006,296.35,0.8,0.8,0.8,-0.0271842,0.054037,-0.998169
496372,5.42128e+006,265.5,0.8,0.8,0.8,0.0516026,-0.250486,0.966744
497886,5.42179e+006,308.25,0.8,0.8,0.8,-0.0175897,0.00979806,-0.999797
497081,5.42148e+006,297.81,0.8,0.8,0.8,0.139643,0.172096,-0.975132
497123,5.42156e+006,301.16,0.8,0.8,0.8,0.0290035,6.3533e-005,-0.999579
497536,5.42142e+006,301.79,0.8,0.8,0.8,-0.0107036,0.104456,-0.994472
496598,5.42167e+006,285.15,0.8,0.8,0.8,-0.144507,-0.00644712,-0.989483
497248,5.42096e+006,312.14,0.8,0.8,0.8,0.596041,0.0903532,0.797854
497604,5.42165e+006,310.37,0.8,0.8,0.8,0.0107216,-0.0289087,-0.999525
497745,5.42122e+006,313.3,0.8,0.8,0.8,-0.130811,0.0653997,0.989248
496730,5.42175e+006,295.08,0.8,0.8,0.8,-0.0482582,-0.0512331,-0.99752
496617,5.42164e+006,819.54,0.8,0.8,0.8,-0.176722,-0.877531,-0.445767
497944,5.42121e+006,320.67,0.8,0.8,0.8,-0.0135339,0.0461731,0.998842
496771,5.42177e+006,300.61,0.8,0.8,0.8,-0.206606,0.0104925,-0.978368
496494,5.42129e+006,287.45,0.8,0.8,0.8,-0.3452,0.547083,0.762586
496586,5.4213e+006,275.15,0.8,0.8,0.8,0.185579,0.224588,0.95662
496383,5.42126e+006,274.94,0.8,0.8,0.8,-0.815573,-0.06825,0.574615
496971,5.42172e+006,290.01,0.8,0.8,0.8,-0.571483,-0.306967,-0.761038
497601,5.42105e+006,322.03,0.8,0.8,0.8,-0.0394617,-0.0178416,0.999062
497242,5.42103e+006,306.31,0.8,0.8,0.8,-0.212721,0.00991861,0.977063
497122,5.42143e+006,296.94,0.8,0.8,0.8,0.157526,0.276347,-0.94806
496662,5.42179e+006,295.18,0.8,0.8,0.8,-0.00357653,0.0609241,-0.998136
496532,5.42156e+006,290.92,0.8,0.8,0.8,-0.061864,-0.00171413,-0.998083
497611,5.4215e+006,308.02,0.8,0.8,0.8,0.00384188,0.0613213,-0.998111
497694,5.42159e+006,311.96,0.8,0.8,0.8,0.0070267,0.00610105,-0.999957
496726,5.42147e+006,302.13,0.8,0.8,0.8,0.8924,0.45047,-0.0264251
497416,5.42108e+006,313.14,0.8,0.8,0.8,-0.0808508,0.0384419,0.995985
496446,5.42101e+006,780.54,0.8,0.8,0.8,0.173931,-0.832763,0.525598
496917,5.42119e+006,294.44,0.8,0.8,0.8,-0.0286624,0.118097,0.992588
