x,y,z,r,g,b,nx,ny,nz
496591.343750,5421775.000000,294.679993,0.8,0.8,0.8,-0.013030,-0.084656,0.996325
496867.437500,5421670.000000,296.100006,0.8,0.8,0.8,-0.155116,-0.166371,0.973786
496377.281250,5421693.000000,300.390015,0.8,0.8,0.8,0.052318,-0.024741,0.998324
496041.812500,5422302.000000,324.859985,0.8,0.8,0.8,0.666750,-0.195456,0.719195
496015.625000,5421597.500000,306.290009,0.8,0.8,0.8,0.016595,-0.068883,0.997487
496245.343750,5421756.000000,308.309998,0.8,0.8,0.8,0.032566,-0.043501,0.998522
496837.125000,5422013.500000,283.989990,0.8,0.8,0.8,0.061801,0.056941,0.996463
495996.406250,5422213.500000,311.890015,0.8,0.8,0.8,-0.640993,0.684026,0.348190
496629.343750,5422078.000000,292.100006,0.8,0.8,0.8,0.018920,0.042042,0.998937
496696.281250,5421514.500000,271.790009,0.8,0.8,0.8,-0.061577,0.147364,0.987164
495951.781250,5422118.000000,302.149994,0.8,0.8,0.8,-0.040744,0.033418,0.998611
496354.312500,5421712.500000,302.089996,0.8,0.8,0.8,0.048954,-0.032151,0.998283
496875.625000,5421464.000000,297.429993,0.8,0.8,0.8,-0.809839,-0.505722,0.297332
496836.531250,5421406.500000,292.480011,0.8,0.8,0.8,-0.097600,0.048314,0.994052
495985.906250,5422229.000000,308.119995,0.8,0.8,0.8,0.714526,0.242565,0.656212
495946.250000,5421551.500000,885.250000,0.8,0.8,0.8,0.001981,-0.230876,-0.972981
497054.250000,5422145.000000,284.540009,0.8,0.8,0.8,0.029733,-0.057901,0.997880
496814.875000,5422173.500000,289.549988,0.8,0.8,0.8,0.022286,-0.028589,0.999343
496719.656250,5421669.000000,290.619995,0.8,0.8,0.8,0.402147,-0.280393,0.871583
496010.437500,5422276.500000,330.100006,0.8,0.8,0.8,-0.065359,-0.211147,0.975267
496012.218750,5421583.000000,884.020020,0.8,0.8,0.8,-0.308477,-0.386324,-0.869250
495997.312500,5421476.000000,299.609985,0.8,0.8,0.8,0.036525,-0.032739,0.998796
496923.437500,5421592.500000,293.940002,0.8,0.8,0.8,-0.250596,0.000040,0.968092
496249.250000,5421536.500000,296.309998,0.8,0.8,0.8,0.054165,-0.040735,0.997701
497105.562500,5421954.000000,275.269989,0.8,0.8,0.8,-0.008197,0.011544,0.999900
496513.593750,5421636.000000,290.850006,0.8,0.8,0.8,0.081052,0.041328,0.995853
496482.156250,5421468.500000,294.220001,0.8,0.8,0.8,0.573837,0.153923,0.804375
496810.656250,5421705.500000,292.070007,0.8,0.8,0.8,-0.145174,-0.154825,0.977217
496050.937500,5421713.000000,309.730011,0.8,0.8,0.8,0.025738,-0.044872,0.998661
496880.343750,5421422.000000,309.089996,0.8,0.8,0.8,-0.333509,-0.172213,0.926884
496750.250000,5421506.000000,286.739990,0.8,0.8,0.8,-0.248911,0.399078,0.882485
496726.187500,5422292.500000,299.019989,0.8,0.8,0.8,0.041698,-0.165696,0.985295
496868.187500,5421358.000000,283.320007,0.8,0.8,0.8,-0.011436,-0.394992,0.918613
496414.937500,5421392.500000,282.230011,0.8,0.8,0.8,0.045513,-0.135948,0.989670
497119.343750,5422237.500000,287.970001,0.8,0.8,0.8,0.040403,-0.017569,0.999029
496868.843750,5421666.000000,294.630005,0.8,0.8,0.8,-0.149363,-0.170661,0.973943
496305.031250,5422318.500000,300.589996,0.8,0.8,0.8,-0.272863,-0.302687,0.913196
496725.718750,5422251.000000,293.600006,0.8,0.8,0.8,0.013645,-0.030333,0.999447
497007.468750,5422138.500000,285.350006,0.8,0.8,0.8,0.022914,-0.060787,0.997888
496196.812500,5422102.500000,301.630005,0.8,0.8,0.8,0.005973,0.049630,0.998750
496136.187500,5421972.500000,311.510010,0.8,0.8,0.8,0.029627,0.054698,0.998063
496164.375000,5421462.500000,295.790009,0.8,0.8,0.8,0.022536,-0.053377,0.998320
496067.843750,5422321.000000,305.519989,0.8,0.8,0.8,-0.023341,0.153275,0.987908
496359.562500,5422153.000000,299.559998,0.8,0.8,0.8,0.076368,-0.006266,0.997060
496033.062500,5422293.500000,326.059998,0.8,0.8,0.8,0.293772,-0.246863,0.923448
496119.125000,5421651.000000,305.339996,0.8,0.8,0.8,0.048833,-0.017451,0.998654
496664.562500,5421985.000000,297.369995,0.8,0.8,0.8,0.094982,0.129208,0.987058
496625.875000,5421925.500000,297.079987,0.8,0.8,0.8,0.002645,-0.036255,0.999339
496944.156250,5421959.000000,280.559998,0.8,0.8,0.8,0.048514,0.026636,0.998467
496211.531250,5421476.000000,295.100006,0.8,0.8,0.8,0.032492,-0.045223,0.998448
496096.281250,5421670.500000,306.799988,0.8,0.8,0.8,0.041361,-0.021831,0.998906
497120.156250,5421456.500000,297.929993,0.8,0.8,0.8,-0.008823,-0.016199,0.999830
496781.250000,5422050.000000,286.519989,0.8,0.8,0.8,0.073437,0.039031,0.996536
496333.406250,5422167.500000,301.709991,0.8,0.8,0.8,-0.049624,-0.118540,0.991709
496159.593750,5421933.000000,312.709991,0.8,0.8,0.8,0.015329,0.022726,0.999624
496999.250000,5421928.500000,278.390015,0.8,0.8,0.8,0.036635,-0.007185,0.999303
496957.375000,5421938.000000,280.179993,0.8,0.8,0.8,0.054881,0.005217,0.998479
496768.218750,5422228.500000,292.250000,0.8,0.8,0.8,0.018068,-0.033700,0.999269
496375.000000,5421598.000000,297.690002,0.8,0.8,0.8,0.023165,-0.033804,0.999160
496763.562500,5421539.500000,278.920013,0.8,0.8,0.8,-0.061952,-0.069020,0.995690
497057.093750,5421511.500000,297.049988,0.8,0.8,0.8,-0.072167,-0.075646,0.994520
497124.843750,5421678.000000,297.420013,0.8,0.8,0.8,-0.031850,0.065783,0.997325
497076.937500,5422163.000000,285.029999,0.8,0.8,0.8,0.016168,-0.065242,0.997738
496176.968750,5421977.000000,310.600006,0.8,0.8,0.8,0.011474,0.050738,0.998646
496092.125000,5422005.500000,309.630005,0.8,0.8,0.8,0.003503,0.080166,0.996775
496310.656250,5421411.500000,288.230011,0.8,0.8,0.8,0.050181,-0.065476,0.996592
496772.500000,5422184.500000,290.809998,0.8,0.8,0.8,0.025884,-0.025108,0.999350
496283.000000,5421608.500000,299.420013,0.8,0.8,0.8,0.011733,-0.049985,0.998681
496812.250000,5422090.500000,287.010010,0.8,0.8,0.8,-0.006838,-0.077027,0.997006
496411.437500,5422186.000000,296.459991,0.8,0.8,0.8,-0.067004,-0.057078,0.996119
496954.406250,5421660.500000,302.279999,0.8,0.8,0.8,-0.125506,-0.096784,0.987361
496696.687500,5421755.500000,292.700012,0.8,0.8,0.8,0.014759,-0.057336,0.998246
496650.562500,5421503.000000,271.679993,0.8,0.8,0.8,0.123267,-0.068062,0.990037
496740.500000,5421476.000000,304.970001,0.8,0.8,0.8,-0.530737,0.379095,0.758027
496741.156250,5421522.500000,278.209991,0.8,0.8,0.8,-0.029903,0.010387,0.999499
496499.500000,5422306.500000,298.119995,0.8,0.8,0.8,0.022787,-0.005052,0.999728
496254.093750,5422219.000000,306.179993,0.8,0.8,0.8,-0.004349,-0.057710,0.998324
495992.656250,5421388.500000,273.910004,0.8,0.8,0.8,-0.003625,0.059741,0.998207
497015.968750,5421371.500000,289.049988,0.8,0.8,0.8,-0.067509,-0.380663,0.922246
496215.843750,5422203.000000,305.029999,0.8,0.8,0.8,0.101345,-0.099098,0.989903
497035.437500,5421362.000000,285.179993,0.8,0.8,0.8,-0.026441,-0.273244,0.961581
496367.125000,5422215.000000,296.290009,0.8,0.8,0.8,0.016469,-0.020041,0.999664
496055.062500,5422319.000000,306.730011,0.8,0.8,0.8,-0.145690,0.242958,0.959034
496207.156250,5421582.500000,299.429993,0.8,0.8,0.8,0.034772,-0.029671,0.998955
496611.781250,5422150.000000,292.730011,0.8,0.8,0.8,0.009792,-0.055195,0.998428
495988.906250,5422043.500000,306.489990,0.8,0.8,0.8,-0.004808,0.058273,0.998289
497019.218750,5422138.000000,285.089996,0.8,0.8,0.8,0.023650,-0.059559,0.997945
496920.437500,5422132.500000,285.899994,0.8,0.8,0.8,0.015821,-0.059379,0.998110
495962.875000,5422202.500000,307.299988,0.8,0.8,0.8,0.081140,-0.740866,0.666734
495978.250000,5421673.000000,309.829987,0.8,0.8,0.8,0.016476,-0.019894,0.999666
496793.687500,5422018.500000,286.980011,0.8,0.8,0.8,0.090193,0.065881,0.993743
497139.593750,5421679.000000,298.089996,0.8,0.8,0.8,-0.066994,0.061250,0.995872
496016.562500,5421987.000000,311.260010,0.8,0.8,0.8,0.028327,0.074677,0.996805
496722.156250,5421657.500000,283.890015,0.8,0.8,0.8,0.016352,-0.085007,0.996246
